,PGS
,TEAM,GP,PTS,REB,AST,3PM,STL,BLK,TO,FD PTS
,DALDallas Mavericks,64,28.95,7.31,11.13,3.97,1.43,0.31,3.02,56.62
,SASSan Antonio Spurs,64,27.35,5.55,8.26,2.84,3.41,0.42,1.7,56.19
,HOUHouston Rockets,63,32.28,6.76,6.59,3.38,1.69,0.67,3.88,53.48
,LALLos Angeles Lakers,65,27.79,5.18,9.79,2.44,2.01,0.28,3.02,52.54
,MIAMiami Heat,63,28.65,6.25,8.72,3.19,1.3,0.87,3.34,52.4
,UTHUtah Jazz,64,27.38,5.69,9.33,4.74,1.58,0.63,2.53,52.3
,PHOPhoenix Suns,64,24.25,6.51,9.97,3.04,1.24,0.97,2.21,51.44
,MILMilwaukee Bucks,64,26.58,5.95,9.12,4.76,1.45,0.66,2.51,51.22
,TORToronto Raptors,64,23.4,6.74,10.87,3.02,2.06,0.13,3.3,51.06
,PORPortland Trail Blazers,63,24.32,4.55,8.94,2.04,2.51,1.25,3.76,50.71
,MEMMemphis Grizzlies,64,23.08,7.69,8.9,3.18,1.64,0.87,2.96,50.23
,CHACharlotte Hornets,64,24.37,9.17,8.02,3.72,1,0.43,2.72,48.97
,MINMinnesota Timberwolves,64,20.73,6.2,11.5,1.66,2.11,0.45,4.84,48.26
,WASWashington Wizards,63,23.52,6.43,7.62,3.67,1.7,1.18,3.67,47.64
,BOSBoston Celtics,63,24.09,5.99,8.15,2.8,1.65,0.63,2.93,47.41
,ORLOrlando Magic,64,22.03,5.9,8.3,3.03,2.71,0.31,3.99,46.63
,BKNBrooklyn Nets,64,27.17,5.24,7.71,3.85,1.85,0.15,4.47,46.55
,GSWGolden State Warriors,63,18.98,6.55,8.79,2.79,2.09,0.83,2.37,46.42
,CHIChicago Bulls,64,25.55,6.35,7.79,4.33,1.01,0.28,3.32,45.41
,CLECleveland Cavaliers,63,21.42,5.1,9.47,2.47,1.6,0.14,1.89,45.08
,INDIndiana Pacers,64,24.33,7.39,5.58,3.45,1.31,0.65,2.63,44.82
