,PGS
,TEAM,GP,PTS,REB,AST,3PM,STL,BLK,TO,FD PTS
,PHIPhiladelphia 76ers,63,23.48,5.76,7.63,2.44,1.58,0.72,4.46,44.28
,NORNew Orleans Pelicans,63,19.05,6.53,8.9,2.78,1.39,0.41,1.8,43.84
,NYKNew York Knicks,63,19.56,6.13,7.15,3.35,1.89,0.43,1.16,43.44
,LACLos Angeles Clippers,62,24.24,5.07,8.39,3.32,1.1,0,3.32,42.89
,OKCOklahoma City Thunder,63,25.34,5.04,6.16,4.2,1.26,0.56,3.78,42.31
,SACSacramento Kings,62,22.25,4.64,9.01,2.95,1.12,0.28,3.23,42.3
,DETDetroit Pistons,63,24.93,5.9,6.63,3.83,0.88,0.44,3.83,42.09
,ATLAtlanta Hawks,63,18.69,5.8,8.77,3.39,0.56,1.13,2.69,41.19
,DENDenver Nuggets,64,21.13,5.91,5.91,2.53,1.01,0,2.53,37.59
,
,SGS
,TEAM,GP,PTS,REB,AST,3PM,STL,BLK,TO,FD PTS
,DETDetroit Pistons,63,27.27,4.74,6.98,4.08,2.63,0.52,2.76,50.12
,SASSan Antonio Spurs,64,24.01,6.05,6.92,2.7,2.37,0.86,3.24,48.1
,WASWashington Wizards,63,26.13,6.99,6.34,3.11,1.39,0.32,1.29,47.87
,ATLAtlanta Hawks,63,24.57,5.57,6.11,3.45,2.39,0.92,2.92,47.43
,INDIndiana Pacers,64,28.5,6.32,4.05,3.33,1.31,0.71,1.78,46.44
,PHOPhoenix Suns,64,24.14,6.18,3.88,4.24,2.06,1.33,1.69,45.86
,MEMMemphis Grizzlies,64,21.88,6.28,4.65,3.14,2.01,1.25,2.51,43.66
,LALLos Angeles Lakers,65,22.41,6.52,4.2,3.47,1.78,1.05,2.1,42.92
,UTHUtah Jazz,64,20.73,5.75,5.75,3.58,1.3,1.51,2.17,42.52
,CHACharlotte Hornets,64,22.46,5.51,4.03,4.16,2.15,0.8,2.01,41.96
,OKCOklahoma City Thunder,63,21.21,6.43,6.14,3.65,1.17,1.02,2.77,41.94
,TORToronto Raptors,64,22.49,5.43,4.2,4.2,2.1,0.49,1.23,41.85
,DALDallas Mavericks,64,21.8,7.51,5.57,4.24,0.96,0.72,2.9,41.31
,DENDenver Nuggets,64,20.46,5.22,6.22,3.22,1.89,0.33,2,40.71
,LACLos Angeles Clippers,62,21.24,5.9,4.9,3.51,2.01,0.37,2.13,40.68
,MINMinnesota Timberwolves,64,21.12,7.6,3.48,3.27,1.47,0.63,1.68,40.08
,PORPortland Trail Blazers,63,19.2,6.35,4.73,2.7,2.29,0.54,2.7,39.71
,MILMilwaukee Bucks,64,17.72,7.51,5.9,2.58,1.47,0.61,2.33,39.49
,BKNBrooklyn Nets,64,20.81,7.59,5.46,2.88,0.75,0.6,2.73,39.43
,GSWGolden State Warriors,63,20.26,5.09,6.56,3.39,1.35,0.56,2.71,39.23
,NYKNew York Knicks,63,21.77,5.47,4.04,4.82,1.56,1.04,2.99,39.2
,SACSacramento Kings,62,20.79,4.2,6.19,3.5,1.4,0.58,2.1,38.96
,CHIChicago Bulls,64,19.48,5.94,5.67,3.23,1.13,0.69,2.44,38.13
,MIAMiami Heat,63,18.7,5.79,4.77,2.84,1.32,1.11,2.03,38.06
,CLECleveland Cavaliers,63,20.05,5.79,4.23,2.56,1,1.11,2.56,37.11
,PHIPhiladelphia 76ers,63,17.99,6.19,4.12,3.24,1.03,1.32,2.06,36.59
,ORLOrlando Magic,64,20.34,4.58,5.41,2.82,1.29,0.23,2.35,36.16
,HOUHouston Rockets,63,17.86,7.12,3.61,2.55,1.27,0.85,2.23,35.95
,NORNew Orleans Pelicans,63,17.12,4.77,3.71,3.31,2.38,0.53,2.25,34.89
,BOSBoston Celtics,63,19.78,6.12,3.49,2.29,0.98,0.43,2.07,34.52
,
,SFs
,TEAM,GP,PTS,REB,AST,3PM,STL,BLK,TO,FD PTS
,TORToronto Raptors,64,26.47,10.11,5.5,4.61,1.18,0.74,1.78,50.83
,DALDallas Mavericks,64,25.54,8.07,5.55,3.97,1.45,1.05,1.45,49.6
,GSWGolden State Warriors,63,25.08,9.98,4.59,3.41,1.31,1.18,2.36,49.05
,NYKNew York Knicks,63,26.47,8.2,3.45,2.73,1.72,1.43,2.15,48.79
,PORPortland Trail Blazers,63,21.05,7.79,4.53,2.09,2.44,2.09,2.79,47.99
,UTHUtah Jazz,64,25.12,8.01,4.61,2.67,1.21,1.45,3.15,46.48
,PHIPhiladelphia 76ers,63,23.6,8.95,4.82,3.27,1.37,1.03,2.75,46.02
,LALLos Angeles Lakers,65,22.22,9.44,4.81,4.44,1.66,0.55,1.66,45.73
,CLECleveland Cavaliers,63,22.96,8.59,4.05,2.45,1.96,0.73,1.96,45.45
,INDIndiana Pacers,64,23.9,8.24,5.41,2.47,1.29,0.47,2.23,44.95
,MEMMemphis Grizzlies,64,21.18,8.55,3.53,2.44,2.03,1.49,2.71,44.59
,MIAMiami Heat,63,23.03,8.28,4.14,3.47,1.32,0.99,1.98,44.13
,DETDetroit Pistons,63,21.25,8.05,4.72,1.94,1.8,0.83,2.36,43.52
,PHOPhoenix Suns,64,21.04,8.89,2.66,2.51,2.51,0.59,2.07,42.93
,HOUHouston Rockets,63,18.36,9.55,4.92,2.53,1.64,0.59,1.49,42.4
,ATLAtlanta Hawks,63,26.55,6.32,3.95,4.74,1.42,0.31,3,42.25
,DENDenver Nuggets,64,22.28,8.31,4.6,2.07,1.33,0.29,2.07,41.94
,NORNew Orleans Pelicans,63,22.91,8.13,4.47,3.11,0.67,0.81,2.3,41.51
,MINMinnesota Timberwolves,64,22.12,6.84,3.82,3.02,1.11,1.27,1.75,41.45
,SACSacramento Kings,62,26.31,5.54,2.27,3.27,1.42,0.42,1.56,40.32
,CHIChicago Bulls,64,19.64,9,3.68,2.86,1.22,0.4,1.02,39.8
,MILMilwaukee Bucks,64,17.19,5.79,4.7,2.17,2.17,0.9,1.26,39.14
,WASWashington Wizards,63,18.96,6.96,4.06,2.51,1.16,0.77,1.54,37.65
,SASSan Antonio Spurs,64,18.3,7.47,2.74,1.37,1.83,0.76,1.67,37.47
,ORLOrlando Magic,64,18.07,7.09,2.92,2.64,1.94,0.97,2.64,37.05
,CHACharlotte Hornets,64,17.7,8.21,4.36,2.05,0.76,0.64,1.41,36.88
,OKCOklahoma City Thunder,63,17.84,6.82,3.86,2.04,1.25,1.02,2.04,36.58
,BKNBrooklyn Nets,64,17.82,6.94,3.81,2.08,1.5,0.34,1.96,35.42
,LACLos Angeles Clippers,62,19.85,5.37,3.73,1.98,1.05,0.46,1.98,34.44
,BOSBoston Celtics,63,12.32,5.97,1.92,1.73,0.96,0.77,1.15,26.4
,
,PFs
,TEAM,GP,PTS,REB,AST,3PM,STL,BLK,TO,FD PTS
,TORToronto Raptors,64,26.47,10.11,5.5,4.61,1.18,0.74,1.78,50.83
,DALDallas Mavericks,64,25.54,8.07,5.55,3.97,1.45,1.05,1.45,49.6
,GSWGolden State Warriors,63,25.08,9.98,4.59,3.41,1.31,1.18,2.36,49.05
,NYKNew York Knicks,63,26.47,8.2,3.45,2.73,1.72,1.43,2.15,48.79
,PORPortland Trail Blazers,63,21.05,7.79,4.53,2.09,2.44,2.09,2.79,47.99
,UTHUtah Jazz,64,25.12,8.01,4.61,2.67,1.21,1.45,3.15,46.48
,PHIPhiladelphia 76ers,63,23.6,8.95,4.82,3.27,1.37,1.03,2.75,46.02
,LALLos Angeles Lakers,65,22.22,9.44,4.81,4.44,1.66,0.55,1.66,45.73
,CLECleveland Cavaliers,63,22.96,8.59,4.05,2.45,1.96,0.73,1.96,45.45
,INDIndiana Pacers,64,23.9,8.24,5.41,2.47,1.29,0.47,2.23,44.95
,MEMMemphis Grizzlies,64,21.18,8.55,3.53,2.44,2.03,1.49,2.71,44.59
,MIAMiami Heat,63,23.03,8.28,4.14,3.47,1.32,0.99,1.98,44.13
,DETDetroit Pistons,63,21.25,8.05,4.72,1.94,1.8,0.83,2.36,43.52
,PHOPhoenix Suns,64,21.04,8.89,2.66,2.51,2.51,0.59,2.07,42.93
,HOUHouston Rockets,63,18.36,9.55,4.92,2.53,1.64,0.59,1.49,42.4
,ATLAtlanta Hawks,63,26.55,6.32,3.95,4.74,1.42,0.31,3,42.25
,DENDenver Nuggets,64,22.28,8.31,4.6,2.07,1.33,0.29,2.07,41.94
,NORNew Orleans Pelicans,63,22.91,8.13,4.47,3.11,0.67,0.81,2.3,41.51
,MINMinnesota Timberwolves,64,22.12,6.84,3.82,3.02,1.11,1.27,1.75,41.45
,SACSacramento Kings,62,26.31,5.54,2.27,3.27,1.42,0.42,1.56,40.32
,CHIChicago Bulls,64,19.64,9,3.68,2.86,1.22,0.4,1.02,39.8
,MILMilwaukee Bucks,64,17.19,5.79,4.7,2.17,2.17,0.9,1.26,39.14
,WASWashington Wizards,63,18.96,6.96,4.06,2.51,1.16,0.77,1.54,37.65
,SASSan Antonio Spurs,64,18.3,7.47,2.74,1.37,1.83,0.76,1.67,37.47
,ORLOrlando Magic,64,18.07,7.09,2.92,2.64,1.94,0.97,2.64,37.05
,CHACharlotte Hornets,64,17.7,8.21,4.36,2.05,0.76,0.64,1.41,36.88
,OKCOklahoma City Thunder,63,17.84,6.82,3.86,2.04,1.25,1.02,2.04,36.58
,BKNBrooklyn Nets,64,17.82,6.94,3.81,2.08,1.5,0.34,1.96,35.42
,LACLos Angeles Clippers,62,19.85,5.37,3.73,1.98,1.05,0.46,1.98,34.44
,BOSBoston Celtics,63,12.32,5.97,1.92,1.73,0.96,0.77,1.15,26.4
,
,C
,TEAM,GP,PTS,REB,AST,3PM,STL,BLK,TO,FD PTS
,SASSan Antonio Spurs,64,30.96,16.74,4.1,2.05,1.89,2.68,2.68,68.23
,OKCOklahoma City Thunder,63,25.86,19.34,5.76,1.11,1.67,2.79,4.83,66.26
,HOUHouston Rockets,63,22.9,17.12,4.46,2.23,0.74,4.65,4.65,61.65
,INDIndiana Pacers,64,23.35,14.67,4.89,1.33,2.22,2.89,3.33,60.29
,MINMinnesota Timberwolves,64,25.7,15.19,4,2,1.33,2.67,3,58.93
,TORToronto Raptors,64,21.34,19.03,4.03,0.76,1.34,3.07,4.99,58.46
,WASWashington Wizards,63,23.58,18.38,3.81,0.69,0.86,2.25,2.94,57.74
,CLECleveland Cavaliers,63,20.8,17.31,3.63,1.6,1.16,2.76,1.45,57.33
,CHIChicago Bulls,64,22.19,14.96,5.67,1.2,1.2,2.75,3.26,57.24
,NORNew Orleans Pelicans,63,24,14.44,3.49,0.69,1.16,3.26,2.79,57.03
,MEMMemphis Grizzlies,64,24.75,13.65,3.27,1.45,1.27,3.09,2.36,56.76
,UTHUtah Jazz,64,26.45,15.26,3.9,0.35,1.06,1.77,2.48,56.62
,PHIPhiladelphia 76ers,63,24.75,12.99,2.26,0.82,0.61,4.33,2.06,56.49
,DALDallas Mavericks,64,26.54,12.13,5.09,1.4,1.4,1.4,1.58,55.55
,LACLos Angeles Clippers,62,19.31,17.7,5.95,0.48,1.12,1.44,1.77,55.39
,BKNBrooklyn Nets,64,22.66,15.24,2.67,0,1.85,2.47,3.7,54.21
,SACSacramento Kings,62,22.86,15.28,5.04,0.89,1.18,1.33,3.11,53.18
,LALLos Angeles Lakers,65,23.44,13.25,5.49,1.45,0.8,1.61,2.26,52.55
,ATLAtlanta Hawks,63,16.68,16.68,3.69,0.29,1.62,2.8,2.95,52.54
,PORPortland Trail Blazers,63,23.15,13.47,4.74,1.89,1.13,2.08,3.6,52.45
,DETDetroit Pistons,63,22.11,14.13,3.37,0.46,0.92,2.45,2.15,52.08
,GSWGolden State Warriors,63,22.97,14.01,3.92,1.49,1.68,0.93,2.42,51.07
,BOSBoston Celtics,63,21.64,13.28,5.14,0.42,1.07,1.28,1.28,51.06
,PHOPhoenix Suns,64,22.28,14.07,3.35,1,1.5,1,2.84,48.85
,DENDenver Nuggets,64,18.29,13.83,4.15,0.61,1.38,1.84,2.76,48.01
,CHACharlotte Hornets,64,15.84,11.57,4.67,1.21,1.42,2.64,2.43,46.48
,MILMilwaukee Bucks,64,19.33,14.72,3.9,0.88,0.35,1.41,2.66,45.46
,NYKNew York Knicks,63,17.88,14.27,4.59,0.82,0.49,1.64,2.95,45.33
,MIAMiami Heat,63,19.26,13.41,5.16,0.51,0.68,0.86,2.58,45.13
,ORLOrlando Magic,64,17.88,10.51,2.95,0.92,1.29,1.1,2.58,39.51
