,PGS
,TEAM,GP,PTS,REB,AST,3PM,STL,BLK,TO,FD PTS
,GSWGolden State Warriors,60,23.21,9.34,3.25,3.32,1.55,0.92,2.68,44.02
,LALLos Angeles Lakers,62,23.23,9.85,4.15,2.78,0.86,0.74,2.29,43.79
,NYKNew York Knicks,61,21.95,6.48,4.87,2.91,1.84,1.01,1.84,43.74
,CLECleveland Cavaliers,60,23.32,7.8,4.18,2.55,1.27,0.66,2.04,42.7
,LACLos Angeles Clippers,59,21.96,7.24,4.26,2.93,1.91,0.58,1.86,42.65
,SACSacramento Kings,59,22.75,7.7,3.52,3.16,1.55,0.77,1.97,42.26
,PHOPhoenix Suns,61,19.2,9.73,2.65,1.87,2.39,0.62,1.82,42.06
,HOUHouston Rockets,60,16.97,8.32,4.75,1.86,2.08,1.22,1.97,42.01
,PHIPhiladelphia 76ers,60,21.05,7.98,3.68,2.66,2,0.51,1.96,41.72
,DETDetroit Pistons,60,19.41,7.37,5.22,2.39,1.72,0.79,1.9,41.71
,BOSBoston Celtics,60,22.28,8.34,3.73,2.96,1.53,0.38,1.92,41.69
,PORPortland Trail Blazers,59,19.49,8.14,4.36,2.24,1.21,1.53,2.43,41.59
,UTHUtah Jazz,61,21.25,5.44,4.54,2.96,1.21,1.39,1.21,41.18
,MINMinnesota Timberwolves,61,21.28,7.64,3.95,2.04,1.58,0.65,1.97,41.09
,SASSan Antonio Spurs,61,18.19,8.45,4.77,2.41,1.65,0.82,2.48,40.42
,NORNew Orleans Pelicans,61,21.25,6.97,4.9,2.92,1.17,0.81,3.19,39.71
,CHIChicago Bulls,60,20.95,6.36,4.71,3.31,1.59,0.44,2.42,39.32
,CHACharlotte Hornets,61,22.4,6.75,3.6,2.64,0.67,0.67,1.51,38.41
,OKCOklahoma City Thunder,60,18.63,6.77,3.38,2.34,1.88,0.84,1.75,38.23
,DALDallas Mavericks,61,17.35,8.09,4.99,2.47,0.94,0.84,1.99,37.89
,MILMilwaukee Bucks,61,16.82,7.28,4.65,1.2,1.87,0.52,2.17,37.53
,BKNBrooklyn Nets,60,18.38,8.05,3.97,2.84,1.18,0.36,1.85,36.77
,MIAMiami Heat,60,19.63,7.43,3.49,2.6,1.2,0.57,2.54,36.55
,ORLOrlando Magic,61,17.31,6.29,3.37,2.01,1.86,0.4,2.51,34.18
,DENDenver Nuggets,61,13.52,7.45,2.7,1.44,1.32,0.66,2.76,29.69
,
,PFs
,TEAM,GP,PTS,REB,AST,3PM,STL,BLK,TO,FD PTS
,WASWashington Wizards,60,28.69,10.53,6.22,1.9,1.79,1.73,2.57,58.65
,HOUHouston Rockets,60,26.22,12.18,4.95,2.27,1.31,2.18,2.13,56.6
,UTHUtah Jazz,61,30.28,8.73,5.29,3.81,1.37,1.21,2.11,54.32
,DETDetroit Pistons,60,27.59,9.06,5.28,2.59,1.44,1.54,2.64,52.68
,DALDallas Mavericks,61,24.39,11.09,5.37,2.24,1.9,0.97,2.54,51.82
,LALLos Angeles Lakers,62,25.52,11.72,4.92,2.62,1.2,0.93,1.91,51.44
,CHACharlotte Hornets,61,24.54,12.34,4.38,1.95,1.26,1.37,2.53,51.28
,GSWGolden State Warriors,60,24.33,11.2,4.72,2.36,1.61,1.3,2.36,51.22
,NORNew Orleans Pelicans,61,25.35,11.11,4.86,2.81,1.28,1.22,2.81,50.66
,SACSacramento Kings,59,26.47,11.3,4.55,1.85,1.29,1.06,3.31,50.6
,TORToronto Raptors,61,24.94,9.82,4.25,2.17,1.32,1.65,1.55,50.46
,INDIndiana Pacers,62,24.73,10.93,5.81,1.25,1,1.4,3.41,50.35
,PHIPhiladelphia 76ers,60,21.72,12.46,5.15,2.16,1.05,1.49,2.54,49.48
,BKNBrooklyn Nets,60,23.87,10.7,5.38,1.62,0.97,1.36,2.46,49.31
,CHIChicago Bulls,60,25.27,10.48,3.41,2.89,1.37,1.61,2.79,49.11
,NYKNew York Knicks,61,26.51,9.37,5.04,3.2,1.26,1.06,3.39,48.88
,DENDenver Nuggets,61,25.83,11.2,3.24,2.57,1.51,0.78,2.24,48.76
,MIAMiami Heat,60,23.23,10.66,5.18,2.44,1.25,1.19,2.68,48.43
,ATLAtlanta Hawks,60,21.87,10.34,5.19,2.71,1.76,1,2.09,48.25
,PHOPhoenix Suns,61,23.33,9.52,3.34,2.39,2.01,0.75,2.01,46.03
,SASSan Antonio Spurs,61,20.7,10.56,4.56,1.68,1.2,1.38,2.7,45.25
,OKCOklahoma City Thunder,60,22.8,10.12,4.72,2.09,1.14,0.8,2.96,44.88
,LACLos Angeles Clippers,59,20.62,9.76,5.43,1.96,0.92,1.09,2.25,44.26
,PORPortland Trail Blazers,59,24.85,8.7,3.75,2.27,1.27,0.8,3.95,43.18
,CLECleveland Cavaliers,60,19.64,10.02,3.51,1.98,1.07,1.3,2.03,42.01
,MILMilwaukee Bucks,61,22.79,9.6,2.9,3.38,1.24,0.82,2.83,42.01
