Team,Defense Rank,Stat,Position,Opposing Player,Opposing Player Team,PRJ Line,Odds,L15 Hit Rate
Cleveland Cavaliers,29,REB,C,Jalen Duren,Detroit Pistons,10.5,-130,60%
Cleveland Cavaliers,29,REB,C,Jalen Duren,Detroit Pistons,10.5,-104,60%
Washington Wizards,27,REB,C,Ivica Zubac,LA Clippers,8.5,-140,26%
LA Clippers,30,PTS,G,Tyus Jones,Washington Wizards,10.5,-115,66%
Philadelphia 76ers,27,PTS,G,Tre Mann,Charlotte Hornets,12.5,-110,20%
Philadelphia 76ers,27,PTS,G,Tre Mann,Charlotte Hornets,12.5,-106,20%
Memphis Grizzlies,30,REB,G,Anfernee Simons,Portland Trail Blazers,3.5,-145,40%
Memphis Grizzlies,30,REB,G,Anfernee Simons,Portland Trail Blazers,3.5,-128,40%
Philadelphia 76ers,26,REB,G,Tre Mann,Charlotte Hornets,4.5,-130,26%
Philadelphia 76ers,26,REB,G,Tre Mann,Charlotte Hornets,4.5,-108,26%
New Orleans Pelicans,28,AST,G,Tyrese Haliburton,Indiana Pacers,11.5,112,33%
Philadelphia 76ers,26,AST,G,Tre Mann,Charlotte Hornets,3.5,-130,33%
Charlotte Hornets,27,AST,G,Buddy Hield,Philadelphia 76ers,3.5,-120,73%
Charlotte Hornets,27,AST,G,Buddy Hield,Philadelphia 76ers,3.5,-115,73%
Charlotte Hornets,27,AST,G,Tyrese Maxey,Philadelphia 76ers,5.5,-146,33%
Charlotte Hornets,27,AST,G,Tyrese Maxey,Philadelphia 76ers,5.5,-140,33%
Toronto Raptors,30,AST,G,Stephen Curry,Golden State Warriors,4.5,-125,60%
Toronto Raptors,30,AST,G,Stephen Curry,Golden State Warriors,4.5,-115,60%
Toronto Raptors,30,AST,G,Brandin Podziemski,Golden State Warriors,4.5,-106,53%
Toronto Raptors,30,AST,G,Brandin Podziemski,Golden State Warriors,4.5,-105,53%
Cleveland Cavaliers,29,PTS,F,Simone Fontecchio,Detroit Pistons,11.5,-122,46%
Toronto Raptors,30,PTS,F,Draymond Green,Golden State Warriors,7.5,-125,60%
Toronto Raptors,30,PTS,F,Draymond Green,Golden State Warriors,7.5,-125,60%
Toronto Raptors,30,PTS,F,Jonathan Kuminga,Golden State Warriors,18.5,-115,46%
Toronto Raptors,30,PTS,F,Jonathan Kuminga,Golden State Warriors,18.5,-108,46%
Memphis Grizzlies,30,REB,F,Jerami Grant,Portland Trail Blazers,4.5,-120,46%
Memphis Grizzlies,30,REB,F,Jerami Grant,Portland Trail Blazers,4.5,-111,46%
Indiana Pacers,28,REB,F,Brandon Ingram,New Orleans Pelicans,4.5,-150,53%
Indiana Pacers,28,REB,F,Brandon Ingram,New Orleans Pelicans,4.5,-130,53%
Indiana Pacers,28,REB,F,Herbert Jones,New Orleans Pelicans,3.5,-150,46%
Indiana Pacers,28,REB,F,Herbert Jones,New Orleans Pelicans,3.5,-136,46%
Indiana Pacers,28,REB,F,Zion Williamson,New Orleans Pelicans,5.5,-130,33%
Indiana Pacers,28,REB,F,Zion Williamson,New Orleans Pelicans,6.5,112,26%
Chicago Bulls,29,AST,F,Giannis Antetokounmpo,Milwaukee Bucks,5.5,-150,46%
Washington Wizards,28,AST,F,Paul George,LA Clippers,3.5,-115,40%
