Team,Opposing Team,Opposing Team Player,Fantasy Line,Fantasy Bookie,Stat,Odds,Sportsbook Bookie,Bet Over/Under,L10 Hit Rate
Boston Celtics,Milwaukee Bucks,Khris Middleton,4.0,Prize Picks,REB,-158,fanduel,OVER,0%
Cleveland Cavaliers,Miami Heat,Jimmy Butler,5.0,Prize Picks,AST,-156,fanduel,UNDER,50%
Detroit Pistons,Indiana Pacers,Tyrese Haliburton,4.0,Prize Picks,REB,-146,fanduel,UNDER,50%
Oklahoma City Thunder,Utah Jazz,Keyonte George,5.0,Prize Picks,AST,-164,fanduel,OVER,60%
Portland Trail Blazers,LA Clippers,James Harden,5.0,Prize Picks,REB,-154,fanduel,OVER,50%
