Team,Opposing Team,Opposing Team Player,Fantasy Line,Fantasy Bookie,Stat,Odds,Sportsbook Bookie,Bet Over/Under,L10 Hit Rate
Dallas Mavericks,Miami Heat,Jimmy Butler,5.5,Prize Picks,REB,-144,pinnacle,OVER,40%
Dallas Mavericks,Miami Heat,Jimmy Butler,6.0,Prize Picks,AST,-166,draftkings,OVER,50%
Dallas Mavericks,Miami Heat,Terry Rozier,5.0,Prize Picks,AST,-160,draftkings,UNDER,70%
Dallas Mavericks,Miami Heat,Nikola Jovic,0.5,Prize Picks,STL,-140,draftkings,UNDER,70%
Denver Nuggets,Boston Celtics,Jayson Tatum,27.5,Prize Picks,PTS,-151,pinnacle,UNDER,40%
Denver Nuggets,Boston Celtics,Jaylen Brown,5.0,Prize Picks,REB,-143,pinnacle,UNDER,60%
Denver Nuggets,Boston Celtics,Jayson Tatum,8.0,Prize Picks,REB,-154,pinnacle,UNDER,50%
Denver Nuggets,Boston Celtics,Derrick White,4.5,Prize Picks,AST,-143,pinnacle,OVER,70%
Detroit Pistons,Brooklyn Nets,Dorian Finney-Smith,10.5,Prize Picks,PTS,-154,pinnacle,UNDER,40%
Detroit Pistons,Brooklyn Nets,Dennis Schroder,7.0,Prize Picks,AST,-140,draftkings,OVER,40%
Golden State Warriors,Chicago Bulls,Ayo Dosunmu,13.5,Prize Picks,PTS,-144,pinnacle,OVER,70%
Golden State Warriors,Chicago Bulls,Nikola Vucevic,11.0,Prize Picks,REB,-150,pinnacle,UNDER,60%
Golden State Warriors,Chicago Bulls,Coby White,5.0,Prize Picks,REB,-162,pinnacle,UNDER,40%
Golden State Warriors,Chicago Bulls,Ayo Dosunmu,4.5,Prize Picks,AST,-152,pinnacle,UNDER,70%
Indiana Pacers,Minnesota Timberwolves,Anthony Edwards,4.0,Prize Picks,AST,-141,pinnacle,UNDER,50%
Indiana Pacers,Minnesota Timberwolves,Mike Conley,6.0,Prize Picks,AST,-146,pinnacle,OVER,50%
Phoenix Suns,Toronto Raptors,Immanuel Quickley,19.5,Prize Picks,PTS,-144,pinnacle,OVER,40%
Phoenix Suns,Toronto Raptors,Immanuel Quickley,5.0,Prize Picks,REB,-151,pinnacle,OVER,80%
Sacramento Kings,San Antonio Spurs,Tre Jones,6.0,Prize Picks,AST,-140,draftkings,UNDER,40%
