Team,Opposing Team,Opposing Team Player,Fantasy Line,Fantasy Bookie,Stat,Odds,Sportsbook Bookie,Bet Over/Under,L10 Hit Rate
Chicago Bulls,Dallas Mavericks,Daniel Gafford,7.0,Prize Picks,REB,-162,pinnacle,UNDER,20%
Chicago Bulls,Dallas Mavericks,Luka Doncic,9.5,Prize Picks,REB,-140,draftkings,UNDER,60%
Cleveland Cavaliers,Phoenix Suns,Kevin Durant,26.5,Prize Picks,PTS,-142,pinnacle,UNDER,50%
Cleveland Cavaliers,Phoenix Suns,Devin Booker,25.5,Prize Picks,PTS,-140,draftkings,UNDER,60%
Cleveland Cavaliers,Phoenix Suns,Devin Booker,4.0,Prize Picks,REB,-140,draftkings,UNDER,70%
Cleveland Cavaliers,Phoenix Suns,Jusuf Nurkic,11.0,Prize Picks,REB,-142,pinnacle,OVER,70%
Cleveland Cavaliers,Phoenix Suns,Royce O'Neale,5.0,Prize Picks,REB,-153,pinnacle,UNDER,60%
Denver Nuggets,Toronto Raptors,Kelly Olynyk,6.5,Prize Picks,REB,-150,pinnacle,OVER,10%
Denver Nuggets,Toronto Raptors,Kelly Olynyk,6.0,Prize Picks,AST,-153,pinnacle,UNDER,20%
Detroit Pistons,Charlotte Hornets,Davis Bertans,12.0,Prize Picks,PTS,-145,draftkings,OVER,40%
Detroit Pistons,Charlotte Hornets,Grant Williams,5.0,Prize Picks,REB,-145,draftkings,OVER,50%
Detroit Pistons,Charlotte Hornets,Brandon Miller,5.0,Prize Picks,REB,-164,pinnacle,OVER,50%
Portland Trail Blazers,Boston Celtics,Jaylen Brown,25.0,Prize Picks,PTS,-140,draftkings,UNDER,60%
Portland Trail Blazers,Boston Celtics,Jaylen Brown,6.0,Prize Picks,REB,-147,pinnacle,OVER,40%
Portland Trail Blazers,Boston Celtics,Derrick White,4.0,Prize Picks,REB,-166,draftkings,UNDER,60%
Portland Trail Blazers,Boston Celtics,Al Horford,7.0,Prize Picks,REB,-156,pinnacle,UNDER,30%
San Antonio Spurs,Golden State Warriors,Chris Paul,11.0,Prize Picks,PTS,-155,pinnacle,OVER,30%
San Antonio Spurs,Golden State Warriors,Jonathan Kuminga,21.5,Prize Picks,PTS,-140,draftkings,UNDER,30%
San Antonio Spurs,Golden State Warriors,Draymond Green,8.0,Prize Picks,REB,-151,pinnacle,OVER,50%
San Antonio Spurs,Golden State Warriors,Chris Paul,4.0,Prize Picks,REB,-140,draftkings,UNDER,30%
San Antonio Spurs,Golden State Warriors,Jonathan Kuminga,6.0,Prize Picks,REB,-148,pinnacle,UNDER,30%
San Antonio Spurs,Golden State Warriors,Brandin Podziemski,6.0,Prize Picks,REB,-164,pinnacle,UNDER,40%
San Antonio Spurs,Golden State Warriors,Draymond Green,6.0,Prize Picks,AST,-145,draftkings,OVER,40%
