Team,Defense Rank,Stat,Position,Opposing Player,Opposing Player Team,PRJ Line,Odds,L15 Hit Rate
Atlanta Hawks,2,PTS,C,Ivica Zubac,LA Clippers,12.5,-130,47%
Atlanta Hawks,2,PTS,C,Ivica Zubac,LA Clippers,11.5,100,47%
Atlanta Hawks,2,PTS,C,Ivica Zubac,LA Clippers,11.5,105,47%
Dallas Mavericks,3,REB,C,Nikola Jokic,Denver Nuggets,13.5,-130,47%
Dallas Mavericks,3,REB,C,Nikola Jokic,Denver Nuggets,12.5,-125,47%
Dallas Mavericks,3,REB,C,Nikola Jokic,Denver Nuggets,12.5,100,47%
Phoenix Suns,5,AST,C,Brook Lopez,Milwaukee Bucks,1.5,-150,47%
Atlanta Hawks,1,PTS,G,James Harden,LA Clippers,16.5,-125,67%
Atlanta Hawks,1,PTS,G,James Harden,LA Clippers,16.5,-115,67%
Atlanta Hawks,1,PTS,G,James Harden,LA Clippers,15.5,-106,67%
Atlanta Hawks,1,PTS,G,James Harden,LA Clippers,15.5,-105,67%
LA Clippers,4,REB,G,Vit Krejci,Atlanta Hawks,2.5,-115,74%
LA Clippers,4,REB,G,Dejounte Murray,Atlanta Hawks,5.5,-148,67%
LA Clippers,4,REB,G,Dejounte Murray,Atlanta Hawks,4.5,105,74%
LA Clippers,4,REB,G,Dejounte Murray,Atlanta Hawks,4.5,114,74%
Denver Nuggets,2,AST,G,Kyrie Irving,Dallas Mavericks,4.5,-142,34%
Denver Nuggets,2,AST,G,Kyrie Irving,Dallas Mavericks,4.5,-140,34%
Detroit Pistons,5,AST,G,Terry Rozier,Miami Heat,6.5,-106,47%
Detroit Pistons,5,AST,G,Terry Rozier,Miami Heat,6.5,-105,47%
Milwaukee Bucks,2,PTS,F,Kevin Durant,Phoenix Suns,19.5,-130,94%
Milwaukee Bucks,2,PTS,F,Kevin Durant,Phoenix Suns,20.5,-130,80%
Milwaukee Bucks,2,PTS,F,Kevin Durant,Phoenix Suns,24.5,-130,54%
Milwaukee Bucks,2,PTS,F,Kevin Durant,Phoenix Suns,25.5,-130,47%
Milwaukee Bucks,2,PTS,F,Kevin Durant,Phoenix Suns,28.5,-128,34%
Milwaukee Bucks,2,PTS,F,Kevin Durant,Phoenix Suns,18.5,-125,94%
Milwaukee Bucks,2,PTS,F,Kevin Durant,Phoenix Suns,21.5,-122,80%
Milwaukee Bucks,2,PTS,F,Kevin Durant,Phoenix Suns,21.5,-120,80%
Milwaukee Bucks,2,PTS,F,Kevin Durant,Phoenix Suns,26.5,-120,47%
Milwaukee Bucks,2,PTS,F,Kevin Durant,Phoenix Suns,23.5,-118,67%
Milwaukee Bucks,2,PTS,F,Kevin Durant,Phoenix Suns,25.5,-118,47%
Milwaukee Bucks,2,PTS,F,Kevin Durant,Phoenix Suns,27.5,-118,47%
Milwaukee Bucks,2,PTS,F,Kevin Durant,Phoenix Suns,27.5,-115,47%
Milwaukee Bucks,2,PTS,F,Kevin Durant,Phoenix Suns,28.5,-115,34%
Milwaukee Bucks,2,PTS,F,Kevin Durant,Phoenix Suns,23.5,-110,67%
Milwaukee Bucks,2,PTS,F,Kevin Durant,Phoenix Suns,26.5,-106,47%
Milwaukee Bucks,2,PTS,F,Kevin Durant,Phoenix Suns,22.5,-105,74%
Milwaukee Bucks,2,PTS,F,Kevin Durant,Phoenix Suns,18.5,-104,94%
Milwaukee Bucks,2,PTS,F,Kevin Durant,Phoenix Suns,20.5,-104,80%
Milwaukee Bucks,2,PTS,F,Kevin Durant,Phoenix Suns,17.5,-102,94%
Milwaukee Bucks,2,PTS,F,Kevin Durant,Phoenix Suns,19.5,-102,94%
Milwaukee Bucks,2,PTS,F,Kevin Durant,Phoenix Suns,17.5,100,94%
Milwaukee Bucks,2,PTS,F,Kevin Durant,Phoenix Suns,22.5,100,74%
Milwaukee Bucks,2,PTS,F,Kevin Durant,Phoenix Suns,24.5,100,54%
Milwaukee Bucks,2,PTS,F,Royce O'Neale,Phoenix Suns,2.5,-125,80%
Milwaukee Bucks,2,PTS,F,Royce O'Neale,Phoenix Suns,4.5,-120,67%
Milwaukee Bucks,2,PTS,F,Royce O'Neale,Phoenix Suns,3.5,105,67%
Brooklyn Nets,4,PTS,F,Julian Champagnie,San Antonio Spurs,7.5,-130,40%
Brooklyn Nets,4,PTS,F,Julian Champagnie,San Antonio Spurs,7.5,-120,40%
Brooklyn Nets,4,PTS,F,Jeremy Sochan,San Antonio Spurs,12.5,-110,54%
Brooklyn Nets,4,PTS,F,Jeremy Sochan,San Antonio Spurs,11.5,-108,60%
Brooklyn Nets,4,PTS,F,Jeremy Sochan,San Antonio Spurs,12.5,-108,54%
Boston Celtics,1,PTS,F,Kyle Kuzma,Washington Wizards,21.5,-110,80%
Boston Celtics,1,PTS,F,Kyle Kuzma,Washington Wizards,21.5,-105,80%
LA Clippers,1,REB,F,Jalen Johnson,Atlanta Hawks,7.5,-113,74%
LA Clippers,1,REB,F,Jalen Johnson,Atlanta Hawks,7.5,-110,74%
Atlanta Hawks,5,REB,F,Paul George,LA Clippers,5.5,-136,47%
Atlanta Hawks,5,REB,F,Paul George,LA Clippers,5.5,-130,47%
Atlanta Hawks,5,REB,F,Kawhi Leonard,LA Clippers,6.5,-106,54%
Atlanta Hawks,5,REB,F,Kawhi Leonard,LA Clippers,6.5,100,54%
Milwaukee Bucks,3,REB,F,Kevin Durant,Phoenix Suns,6.5,-150,60%
Milwaukee Bucks,3,REB,F,Kevin Durant,Phoenix Suns,5.5,125,74%
Milwaukee Bucks,3,REB,F,Kevin Durant,Phoenix Suns,5.5,126,74%
Milwaukee Bucks,3,REB,F,Kevin Durant,Phoenix Suns,6.5,126,60%
Milwaukee Bucks,3,REB,F,Kevin Durant,Phoenix Suns,8.5,130,34%
Milwaukee Bucks,3,REB,F,Kevin Durant,Phoenix Suns,8.5,134,34%
Milwaukee Bucks,3,REB,F,Kevin Durant,Phoenix Suns,7.5,135,54%
Milwaukee Bucks,3,REB,F,Kevin Durant,Phoenix Suns,7.5,140,54%
Milwaukee Bucks,3,REB,F,Royce O'Neale,Phoenix Suns,5.5,-150,40%
Milwaukee Bucks,3,REB,F,Royce O'Neale,Phoenix Suns,3.5,-125,87%
Milwaukee Bucks,3,REB,F,Royce O'Neale,Phoenix Suns,3.5,-114,87%
Milwaukee Bucks,3,REB,F,Royce O'Neale,Phoenix Suns,4.5,130,60%
Milwaukee Bucks,3,REB,F,Royce O'Neale,Phoenix Suns,4.5,134,60%
Boston Celtics,4,REB,F,Kyle Kuzma,Washington Wizards,7.5,-144,47%
Boston Celtics,4,REB,F,Kyle Kuzma,Washington Wizards,7.5,-130,47%
Boston Celtics,4,REB,F,Kyle Kuzma,Washington Wizards,6.5,-102,60%
Phoenix Suns,3,AST,F,Giannis Antetokounmpo,Milwaukee Bucks,6.5,-140,47%
Phoenix Suns,3,AST,F,Giannis Antetokounmpo,Milwaukee Bucks,6.5,-130,47%
Phoenix Suns,3,AST,F,Giannis Antetokounmpo,Milwaukee Bucks,5.5,120,60%
Phoenix Suns,3,AST,F,Khris Middleton,Milwaukee Bucks,3.5,-112,100%
Phoenix Suns,3,AST,F,Khris Middleton,Milwaukee Bucks,3.5,-105,100%
Phoenix Suns,3,AST,F,Khris Middleton,Milwaukee Bucks,4.5,100,100%
Phoenix Suns,3,AST,F,Khris Middleton,Milwaukee Bucks,4.5,122,100%
Phoenix Suns,3,AST,F,Bobby Portis,Milwaukee Bucks,0.5,100,94%
Phoenix Suns,3,AST,F,Bobby Portis,Milwaukee Bucks,0.5,100,94%
Boston Celtics,1,AST,F,Kyle Kuzma,Washington Wizards,4.5,-105,34%
Boston Celtics,1,AST,F,Kyle Kuzma,Washington Wizards,4.5,-102,34%
