Team,Opposing Team,Opposing Team Player,Fantasy Line,Fantasy Bookie,Stat,Odds,Sportsbook Bookie,Bet Over/Under,L10 Hit Rate
Atlanta Hawks,New Orleans Pelicans,Herbert Jones,10.0,Prize Picks,PTS,-141,pinnacle,OVER,70%
Atlanta Hawks,New Orleans Pelicans,Zion Williamson,6.5,Prize Picks,REB,-140,pinnacle,UNDER,40%
Atlanta Hawks,New Orleans Pelicans,Brandon Ingram,5.0,Prize Picks,REB,-163,pinnacle,UNDER,60%
Atlanta Hawks,New Orleans Pelicans,Zion Williamson,5.5,Prize Picks,AST,-180,draftkings,OVER,60%
Atlanta Hawks,New Orleans Pelicans,Brandon Ingram,6.0,Prize Picks,AST,-153,pinnacle,OVER,50%
Atlanta Hawks,New Orleans Pelicans,Zion Williamson,2.5,Prize Picks,TOV,-195,draftkings,UNDER,60%
Cleveland Cavaliers,Brooklyn Nets,Dorian Finney-Smith,5.0,Prize Picks,REB,-167,pinnacle,UNDER,30%
LA Clippers,Milwaukee Bucks,Malik Beasley,12.5,Prize Picks,PTS,-160,draftkings,OVER,50%
LA Clippers,Milwaukee Bucks,Giannis Antetokounmpo,12.0,Prize Picks,REB,-150,draftkings,UNDER,50%
LA Clippers,Milwaukee Bucks,Damian Lillard,4.0,Prize Picks,REB,-240,draftkings,OVER,70%
LA Clippers,Milwaukee Bucks,Brook Lopez,0.5,Prize Picks,STL,-10000,draftkings,UNDER,40%
LA Clippers,Milwaukee Bucks,Giannis Antetokounmpo,0.5,Prize Picks,3PM,-20000,draftkings,UNDER,80%
LA Clippers,Milwaukee Bucks,Brook Lopez,1.5,Prize Picks,3PM,-10000,draftkings,UNDER,50%
Los Angeles Lakers,Minnesota Timberwolves,Anthony Edwards,6.5,Prize Picks,REB,-142,pinnacle,UNDER,20%
Los Angeles Lakers,Minnesota Timberwolves,Rudy Gobert,15.5,Prize Picks,REB,-144,pinnacle,UNDER,70%
Miami Heat,Washington Wizards,Kyle Kuzma,8.0,Prize Picks,REB,-182,pinnacle,UNDER,40%
Miami Heat,Washington Wizards,Deni Avdija,9.0,Prize Picks,REB,-147,pinnacle,UNDER,70%
Miami Heat,Washington Wizards,Bilal Coulibaly,4.5,Prize Picks,REB,-145,draftkings,UNDER,40%
Miami Heat,Washington Wizards,Jordan Poole,4.0,Prize Picks,AST,-194,pinnacle,UNDER,60%
Miami Heat,Washington Wizards,Tyus Jones,7.5,Prize Picks,AST,-160,draftkings,UNDER,60%
Miami Heat,Washington Wizards,Kyle Kuzma,4.0,Prize Picks,AST,-144,pinnacle,OVER,50%
Miami Heat,Washington Wizards,Bilal Coulibaly,0.5,Prize Picks,BLK,-180,draftkings,UNDER,70%
Miami Heat,Washington Wizards,Kyle Kuzma,2.5,Prize Picks,TOV,-200,draftkings,UNDER,40%
New York Knicks,Philadelphia 76ers,Kyle Lowry,5.0,Prize Picks,AST,-154,pinnacle,UNDER,60%
Orlando Magic,Indiana Pacers,Tyrese Haliburton,19.5,Prize Picks,PTS,-143,pinnacle,UNDER,30%
Orlando Magic,Indiana Pacers,Pascal Siakam,6.0,Prize Picks,REB,-155,draftkings,UNDER,50%
Orlando Magic,Indiana Pacers,Myles Turner,6.5,Prize Picks,REB,-150,draftkings,UNDER,70%
Orlando Magic,Indiana Pacers,Tyrese Haliburton,10.0,Prize Picks,AST,-148,pinnacle,UNDER,60%
Orlando Magic,Indiana Pacers,Myles Turner,0.5,Prize Picks,STL,-250,draftkings,UNDER,40%
Orlando Magic,Indiana Pacers,Myles Turner,1.5,Prize Picks,BLK,-235,draftkings,UNDER,70%
Orlando Magic,Indiana Pacers,Myles Turner,1.5,Prize Picks,TOV,-200,draftkings,OVER,50%
Sacramento Kings,Houston Rockets,Alperen Sengun,21.0,Prize Picks,PTS,-171,pinnacle,UNDER,30%
Sacramento Kings,Houston Rockets,Jalen Green,4.5,Prize Picks,REB,-170,draftkings,UNDER,40%
Sacramento Kings,Houston Rockets,Alperen Sengun,10.0,Prize Picks,REB,-150,draftkings,UNDER,60%
Sacramento Kings,Houston Rockets,Alperen Sengun,2.5,Prize Picks,TOV,-200,draftkings,UNDER,50%
