Team,Opposing Team,Opposing Team Player,Fantasy Line,Fantasy Bookie,Stat,Odds,Sportsbook Bookie,Bet Over/Under,L10 Hit Rate
Detroit Pistons,Toronto Raptors,Immanuel Quickley,5.5,Prize Picks,REB,-162,fanduel,UNDER,70%
Detroit Pistons,Toronto Raptors,Gradey Dick,4.5,Prize Picks,REB,-154,fanduel,OVER,20%
Detroit Pistons,Toronto Raptors,Immanuel Quickley,8.0,Prize Picks,AST,-154,fanduel,UNDER,50%
Detroit Pistons,Toronto Raptors,Kelly Olynyk,5.0,Prize Picks,AST,-158,fanduel,UNDER,40%
Detroit Pistons,Toronto Raptors,Gradey Dick,2.5,Prize Picks,AST,-188,fanduel,UNDER,20%
Detroit Pistons,Toronto Raptors,Gradey Dick,2.5,Prize Picks,3PM,-215,fanduel,UNDER,30%
Indiana Pacers,Chicago Bulls,Coby White,5.0,Prize Picks,AST,-162,fanduel,UNDER,50%
Indiana Pacers,Chicago Bulls,Ayo Dosunmu,5.0,Prize Picks,AST,-152,fanduel,OVER,80%
Memphis Grizzlies,Charlotte Hornets,Vasilije Micic,3.0,Prize Picks,REB,-158,fanduel,OVER,40%
Miami Heat,Denver Nuggets,Jamal Murray,7.0,Prize Picks,AST,-162,fanduel,UNDER,70%
New Orleans Pelicans,Cleveland Cavaliers,Donovan Mitchell,5.0,Prize Picks,AST,-162,fanduel,UNDER,80%
Orlando Magic,Brooklyn Nets,Dennis Schroder,2.5,Prize Picks,REB,-178,fanduel,UNDER,20%
Orlando Magic,Brooklyn Nets,Dorian Finney-Smith,5.0,Prize Picks,REB,-172,fanduel,UNDER,50%
Orlando Magic,Brooklyn Nets,Mikal Bridges,3.5,Prize Picks,AST,-178,fanduel,UNDER,70%
Orlando Magic,Brooklyn Nets,Mikal Bridges,2.5,Prize Picks,3PM,-215,fanduel,UNDER,50%
Portland Trail Blazers,Atlanta Hawks,Bogdan Bogdanovic,4.0,Prize Picks,REB,-146,fanduel,UNDER,40%
