Team,Defense Rank,Stat,Position,Opposing Player,Opposing Player Team,PRJ Line,Odds,L15 Hit Rate
New York Knicks,2,STL,G,Stephen Curry,Golden State Warriors,0.5,140,54%
New York Knicks,2,STL,G,Brandin Podziemski,Golden State Warriors,0.5,120,54%
Brooklyn Nets,3,TOV,G,Bogdan Bogdanovic,Atlanta Hawks,1.5,110,34%
New York Knicks,1,FG3M,G,Stephen Curry,Golden State Warriors,4.5,114,54%
Charlotte Hornets,2,TOV,F,Giannis Antetokounmpo,Milwaukee Bucks,2.5,-110,54%
Charlotte Hornets,2,TOV,F,Jae Crowder,Milwaukee Bucks,0.5,105,40%
New York Knicks,4,TOV,F,Draymond Green,Golden State Warriors,1.5,130,67%
New York Knicks,4,TOV,F,Jonathan Kuminga,Golden State Warriors,1.5,130,67%
Utah Jazz,1,TOV,F,Paolo Banchero,Orlando Magic,2.5,-140,60%
Milwaukee Bucks,1,FG3M,F,Miles Bridges,Charlotte Hornets,2.5,-150,47%
Milwaukee Bucks,1,FG3M,F,Cody Martin,Charlotte Hornets,0.5,130,80%
Milwaukee Bucks,1,FG3M,F,Brandon Miller,Charlotte Hornets,2.5,-125,54%
Houston Rockets,4,FG3M,F,Kevin Durant,Phoenix Suns,2.5,-140,14%
