Team,Opposing Team,Opposing Team Player,Fantasy Line,Fantasy Bookie,Stat,Odds,Sportsbook Bookie,Bet Over/Under,L10 Hit Rate
Los Angeles Lakers,Oklahoma City Thunder,Luguentz Dort,4.0,Prize Picks,REB,-160,draftkings,OVER,50%
Milwaukee Bucks,LA Clippers,Terance Mann,8.0,Prize Picks,PTS,-140,draftkings,OVER,60%
Milwaukee Bucks,LA Clippers,Kawhi Leonard,7.0,Prize Picks,REB,-155,pinnacle,UNDER,40%
Milwaukee Bucks,LA Clippers,James Harden,8.0,Prize Picks,AST,-160,draftkings,UNDER,20%
Milwaukee Bucks,LA Clippers,Kawhi Leonard,4.0,Prize Picks,AST,-166,pinnacle,OVER,50%
Sacramento Kings,Chicago Bulls,Nikola Vucevic,19.0,Prize Picks,PTS,-144,pinnacle,UNDER,80%
Sacramento Kings,Chicago Bulls,Alex Caruso,9.0,Prize Picks,PTS,-147,pinnacle,OVER,50%
Sacramento Kings,Chicago Bulls,Ayo Dosunmu,4.0,Prize Picks,AST,-166,draftkings,UNDER,50%
Utah Jazz,Washington Wizards,Kyle Kuzma,7.0,Prize Picks,REB,-140,pinnacle,OVER,50%
Utah Jazz,Washington Wizards,Deni Avdija,7.0,Prize Picks,REB,-145,draftkings,OVER,50%
Utah Jazz,Washington Wizards,Jordan Poole,3.5,Prize Picks,AST,-142,pinnacle,OVER,70%
Utah Jazz,Washington Wizards,Tyus Jones,10.0,Prize Picks,AST,-152,pinnacle,UNDER,60%
