Team,Defense Rank,Stat,Position,Opposing Player,Opposing Player Team,PRJ Line,Odds,L15 Hit Rate
Houston Rockets,26,PTS,C,Jusuf Nurkic,Phoenix Suns,11.5,-111,40%
Houston Rockets,26,PTS,C,Jusuf Nurkic,Phoenix Suns,11.5,-110,40%
Denver Nuggets,26,PTS,G,Spencer Dinwiddie,Los Angeles Lakers,6.5,110,46%
Denver Nuggets,26,PTS,G,Austin Reaves,Los Angeles Lakers,13.5,-130,66%
Denver Nuggets,26,PTS,G,Austin Reaves,Los Angeles Lakers,14.5,-108,60%
Denver Nuggets,26,PTS,G,D'Angelo Russell,Los Angeles Lakers,17.5,-120,66%
Denver Nuggets,26,PTS,G,D'Angelo Russell,Los Angeles Lakers,18.5,100,53%
Memphis Grizzlies,30,REB,G,Anfernee Simons,Portland Trail Blazers,4.5,114,33%
Utah Jazz,29,AST,G,Tyler Herro,Miami Heat,4.5,114,40%
Utah Jazz,29,AST,G,Tyler Herro,Miami Heat,4.5,116,40%
Utah Jazz,29,AST,G,Terry Rozier,Miami Heat,4.5,-140,46%
Atlanta Hawks,28,PTS,F,Cameron Johnson,Brooklyn Nets,15.5,-115,20%
Brooklyn Nets,27,REB,F,Jalen Johnson,Atlanta Hawks,9.5,110,60%
Brooklyn Nets,27,REB,F,Jalen Johnson,Atlanta Hawks,9.5,110,60%
Memphis Grizzlies,30,REB,F,Jerami Grant,Portland Trail Blazers,4.5,100,40%
Memphis Grizzlies,30,REB,F,Jerami Grant,Portland Trail Blazers,4.5,114,40%
