Team,Defense Rank,Stat,Position,Opposing Player,Opposing Player Team,PRJ Line,Odds,L15 Hit Rate
Milwaukee Bucks,29,PTS,G,Austin Reaves,Los Angeles Lakers,16.5,-130,40%
Milwaukee Bucks,29,PTS,G,Austin Reaves,Los Angeles Lakers,17.5,-115,40%
Milwaukee Bucks,29,PTS,G,Austin Reaves,Los Angeles Lakers,17.5,-111,40%
Milwaukee Bucks,29,PTS,G,D'Angelo Russell,Los Angeles Lakers,19.5,-125,46%
Milwaukee Bucks,29,PTS,G,D'Angelo Russell,Los Angeles Lakers,20.5,-125,40%
Milwaukee Bucks,29,PTS,G,D'Angelo Russell,Los Angeles Lakers,20.5,-111,40%
Los Angeles Lakers,27,PTS,G,Malik Beasley,Milwaukee Bucks,9.5,-125,53%
Los Angeles Lakers,27,PTS,G,Malik Beasley,Milwaukee Bucks,10.5,-105,53%
Los Angeles Lakers,27,PTS,G,Malik Beasley,Milwaukee Bucks,10.5,100,53%
Los Angeles Lakers,27,PTS,G,Damian Lillard,Milwaukee Bucks,22.5,-135,53%
Los Angeles Lakers,27,PTS,G,Damian Lillard,Milwaukee Bucks,23.5,-125,46%
Los Angeles Lakers,27,PTS,G,Damian Lillard,Milwaukee Bucks,22.5,-125,53%
Los Angeles Lakers,27,PTS,G,Damian Lillard,Milwaukee Bucks,23.5,-125,46%
Los Angeles Lakers,27,PTS,G,Damian Lillard,Milwaukee Bucks,24.5,-102,40%
Miami Heat,28,AST,G,Stephen Curry,Golden State Warriors,4.5,108,40%
Miami Heat,28,AST,G,Stephen Curry,Golden State Warriors,4.5,120,40%
Golden State Warriors,29,AST,G,Patty Mills,Miami Heat,2.5,140,26%
Golden State Warriors,29,AST,G,Terry Rozier,Miami Heat,4.5,-150,33%
Golden State Warriors,29,AST,G,Terry Rozier,Miami Heat,4.5,-142,33%
Miami Heat,26,PTS,F,Draymond Green,Golden State Warriors,7.5,-125,33%
Miami Heat,26,PTS,F,Draymond Green,Golden State Warriors,7.5,-118,33%
Miami Heat,26,PTS,F,Jonathan Kuminga,Golden State Warriors,17.5,-120,73%
Miami Heat,26,PTS,F,Jonathan Kuminga,Golden State Warriors,17.5,-115,73%
Miami Heat,26,PTS,F,Jonathan Kuminga,Golden State Warriors,18.5,-105,73%
Miami Heat,26,PTS,F,Jonathan Kuminga,Golden State Warriors,18.5,100,73%
Miami Heat,26,PTS,F,Andrew Wiggins,Golden State Warriors,10.5,-145,46%
Miami Heat,26,PTS,F,Andrew Wiggins,Golden State Warriors,10.5,-130,46%
Miami Heat,26,PTS,F,Andrew Wiggins,Golden State Warriors,9.5,-125,46%
Miami Heat,26,PTS,F,Andrew Wiggins,Golden State Warriors,11.5,-106,40%
Miami Heat,26,PTS,F,Andrew Wiggins,Golden State Warriors,11.5,100,40%
Milwaukee Bucks,28,PTS,F,Rui Hachimura,Los Angeles Lakers,14.5,-115,46%
Milwaukee Bucks,28,PTS,F,Rui Hachimura,Los Angeles Lakers,14.5,-110,46%
Miami Heat,26,REB,F,Draymond Green,Golden State Warriors,8.5,100,33%
Miami Heat,26,REB,F,Draymond Green,Golden State Warriors,8.5,112,33%
Miami Heat,26,REB,F,Jonathan Kuminga,Golden State Warriors,4.5,-146,53%
Miami Heat,26,REB,F,Jonathan Kuminga,Golden State Warriors,5.5,106,40%
Miami Heat,26,REB,F,Jonathan Kuminga,Golden State Warriors,5.5,110,40%
Miami Heat,26,REB,F,Andrew Wiggins,Golden State Warriors,4.5,-125,40%
Miami Heat,26,REB,F,Andrew Wiggins,Golden State Warriors,4.5,-108,40%
Golden State Warriors,27,REB,F,Jimmy Butler,Miami Heat,4.5,-150,26%
Golden State Warriors,27,REB,F,Jimmy Butler,Miami Heat,4.5,-128,26%
Golden State Warriors,27,REB,F,Nikola Jovic,Miami Heat,3.5,-140,40%
Golden State Warriors,27,REB,F,Nikola Jovic,Miami Heat,3.5,-128,40%
