Team,Defense Rank,Stat,Position,Opposing Player,Opposing Player Team,PRJ Line,Odds,L15 Hit Rate
Boston Celtics,2,PTS,G,Grayson Allen,Phoenix Suns,14.5,-128,34%
Boston Celtics,2,PTS,G,Grayson Allen,Phoenix Suns,13.5,100,34%
Boston Celtics,2,PTS,G,Bradley Beal,Phoenix Suns,18.5,-115,74%
Boston Celtics,2,PTS,G,Bradley Beal,Phoenix Suns,18.5,-104,74%
Portland Trail Blazers,5,PTS,G,Immanuel Quickley,Toronto Raptors,20.5,-115,40%
Portland Trail Blazers,5,PTS,G,Immanuel Quickley,Toronto Raptors,20.5,-106,40%
Chicago Bulls,1,REB,G,James Harden,LA Clippers,5.5,-140,47%
Chicago Bulls,1,REB,G,James Harden,LA Clippers,5.5,-136,47%
Portland Trail Blazers,5,REB,G,Immanuel Quickley,Toronto Raptors,5.5,-130,47%
Portland Trail Blazers,5,REB,G,Immanuel Quickley,Toronto Raptors,5.5,-118,47%
Detroit Pistons,4,AST,G,Kyrie Irving,Dallas Mavericks,3.5,145,60%
Denver Nuggets,1,PTS,F,Brice Sensabaugh,Utah Jazz,7.5,-110,60%
Utah Jazz,1,REB,F,Aaron Gordon,Denver Nuggets,6.5,-146,47%
Utah Jazz,1,REB,F,Aaron Gordon,Denver Nuggets,5.5,110,60%
Utah Jazz,1,REB,F,Aaron Gordon,Denver Nuggets,5.5,112,60%
Chicago Bulls,3,REB,F,Paul George,LA Clippers,5.5,-125,47%
Chicago Bulls,3,REB,F,Paul George,LA Clippers,5.5,-113,47%
Chicago Bulls,3,REB,F,Kawhi Leonard,LA Clippers,6.5,-130,40%
Chicago Bulls,3,REB,F,Kawhi Leonard,LA Clippers,6.5,-120,40%
Golden State Warriors,3,AST,F,Jeremy Sochan,San Antonio Spurs,2.5,-130,47%
Golden State Warriors,3,AST,F,Jeremy Sochan,San Antonio Spurs,2.5,-111,47%
