Team,Defense Rank,Stat,Position,Opposing Player,Opposing Player Team,PRJ Line,Odds,L15 Hit Rate
Minnesota Timberwolves,26,PTS,C,Jarrett Allen,Cleveland Cavaliers,16.5,-125,66%
Minnesota Timberwolves,26,PTS,C,Jarrett Allen,Cleveland Cavaliers,17.5,-120,60%
Minnesota Timberwolves,26,PTS,C,Jarrett Allen,Cleveland Cavaliers,17.5,-104,60%
Cleveland Cavaliers,26,REB,C,Rudy Gobert,Minnesota Timberwolves,13.5,-135,46%
Cleveland Cavaliers,26,REB,C,Rudy Gobert,Minnesota Timberwolves,13.5,-128,46%
LA Clippers,27,REB,C,Deandre Ayton,Portland Trail Blazers,11.5,-113,40%
LA Clippers,27,REB,C,Deandre Ayton,Portland Trail Blazers,11.5,-110,40%
Los Angeles Lakers,27,PTS,G,Tyrese Maxey,Philadelphia 76ers,28.5,-120,40%
Los Angeles Lakers,27,PTS,G,Tyrese Maxey,Philadelphia 76ers,28.5,-120,40%
Indiana Pacers,28,REB,G,Stephen Curry,Golden State Warriors,4.5,-115,40%
Indiana Pacers,28,REB,G,Stephen Curry,Golden State Warriors,4.5,-111,40%
Indiana Pacers,28,REB,G,Chris Paul,Golden State Warriors,3.5,-140,66%
Indiana Pacers,28,REB,G,Brandin Podziemski,Golden State Warriors,5.5,100,40%
Indiana Pacers,28,REB,G,Brandin Podziemski,Golden State Warriors,5.5,106,40%
Indiana Pacers,28,REB,G,Klay Thompson,Golden State Warriors,3.5,114,33%
Memphis Grizzlies,29,REB,G,Tre Jones,San Antonio Spurs,3.5,-150,60%
Memphis Grizzlies,29,REB,G,Tre Jones,San Antonio Spurs,3.5,-148,60%
Los Angeles Lakers,26,AST,G,Tyrese Maxey,Philadelphia 76ers,5.5,-104,20%
Los Angeles Lakers,26,AST,G,Tyrese Maxey,Philadelphia 76ers,5.5,105,20%
Minnesota Timberwolves,30,AST,G,Darius Garland,Cleveland Cavaliers,6.5,-146,60%
Minnesota Timberwolves,30,AST,G,Darius Garland,Cleveland Cavaliers,6.5,-140,60%
Toronto Raptors,28,AST,G,Josh Giddey,Oklahoma City Thunder,3.5,-150,60%
Toronto Raptors,28,AST,G,Josh Giddey,Oklahoma City Thunder,3.5,-150,60%
Toronto Raptors,28,AST,G,Shai Gilgeous-Alexander,Oklahoma City Thunder,5.5,-150,46%
Toronto Raptors,28,AST,G,Shai Gilgeous-Alexander,Oklahoma City Thunder,5.5,-148,46%
Toronto Raptors,28,AST,G,Shai Gilgeous-Alexander,Oklahoma City Thunder,6.5,124,33%
Golden State Warriors,29,REB,F,Pascal Siakam,Indiana Pacers,7.5,-132,66%
Golden State Warriors,29,REB,F,Pascal Siakam,Indiana Pacers,7.5,-130,66%
Golden State Warriors,29,REB,F,Pascal Siakam,Indiana Pacers,8.5,110,53%
Los Angeles Lakers,27,REB,F,Tobias Harris,Philadelphia 76ers,6.5,-105,40%
Los Angeles Lakers,27,REB,F,Tobias Harris,Philadelphia 76ers,6.5,114,40%
Indiana Pacers,28,AST,F,Draymond Green,Golden State Warriors,6.5,-122,26%
Indiana Pacers,28,AST,F,Draymond Green,Golden State Warriors,6.5,-110,26%
Indiana Pacers,28,AST,F,Jonathan Kuminga,Golden State Warriors,2.5,110,46%
Indiana Pacers,28,AST,F,Jonathan Kuminga,Golden State Warriors,2.5,118,46%
