Team,Opposing Team,Opposing Team Player,Fantasy Line,Fantasy Bookie,Stat,Odds,Sportsbook Bookie,Bet Over/Under,L10 Hit Rate
Brooklyn Nets,Atlanta Hawks,Dejounte Murray,6.0,Prize Picks,REB,-380,draftkings,UNDER,50%
Brooklyn Nets,Atlanta Hawks,Clint Capela,10.0,Prize Picks,REB,-750,draftkings,UNDER,60%
Brooklyn Nets,Atlanta Hawks,Saddiq Bey,5.5,Prize Picks,REB,-155,draftkings,UNDER,50%
Brooklyn Nets,Atlanta Hawks,De'Andre Hunter,4.0,Prize Picks,REB,-145,draftkings,UNDER,50%
Los Angeles Lakers,Denver Nuggets,Nikola Jokic,13.0,Prize Picks,REB,-147,pinnacle,OVER,50%
Los Angeles Lakers,Denver Nuggets,Jamal Murray,6.5,Prize Picks,AST,-145,pinnacle,UNDER,50%
Memphis Grizzlies,Portland Trail Blazers,Toumani Camara,7.0,Prize Picks,PTS,-145,draftkings,OVER,60%
Memphis Grizzlies,Portland Trail Blazers,Anfernee Simons,4.0,Prize Picks,REB,-160,draftkings,UNDER,40%
Memphis Grizzlies,Portland Trail Blazers,Toumani Camara,6.0,Prize Picks,REB,-140,draftkings,OVER,50%
Memphis Grizzlies,Portland Trail Blazers,Duop Reath,6.0,Prize Picks,REB,-163,pinnacle,UNDER,20%
Memphis Grizzlies,Portland Trail Blazers,Anfernee Simons,6.0,Prize Picks,AST,-163,pinnacle,UNDER,40%
Miami Heat,Utah Jazz,Taylor Hendricks,9.5,Prize Picks,PTS,-173,pinnacle,UNDER,40%
Miami Heat,Utah Jazz,Lauri Markkanen,8.0,Prize Picks,REB,-171,pinnacle,UNDER,30%
Miami Heat,Utah Jazz,Taylor Hendricks,6.0,Prize Picks,REB,-166,pinnacle,UNDER,60%
Miami Heat,Utah Jazz,Keyonte George,5.5,Prize Picks,AST,-143,pinnacle,UNDER,60%
Phoenix Suns,Houston Rockets,Alperen Sengun,9.0,Prize Picks,REB,-146,pinnacle,OVER,50%
Phoenix Suns,Houston Rockets,Cam Whitmore,4.0,Prize Picks,REB,-150,draftkings,UNDER,40%
