Team,Opposing Team,Opposing Team Player,Fantasy Line,Fantasy Bookie,Stat,Odds,Sportsbook Bookie,Bet Over/Under,L10 Hit Rate
Brooklyn Nets,Philadelphia 76ers,Tobias Harris,7.0,Prize Picks,REB,-140,draftkings,OVER,40%
Charlotte Hornets,Orlando Magic,Moritz Wagner,10.5,Prize Picks,PTS,-141,pinnacle,UNDER,60%
Charlotte Hornets,Orlando Magic,Paolo Banchero,7.0,Prize Picks,REB,-151,pinnacle,OVER,30%
Charlotte Hornets,Orlando Magic,Franz Wagner,5.0,Prize Picks,REB,-146,pinnacle,UNDER,40%
Cleveland Cavaliers,Boston Celtics,Jayson Tatum,5.0,Prize Picks,AST,-162,pinnacle,UNDER,60%
Dallas Mavericks,Indiana Pacers,Pascal Siakam,22.5,Prize Picks,PTS,-140,draftkings,UNDER,30%
Dallas Mavericks,Indiana Pacers,Andrew Nembhard,10.0,Prize Picks,PTS,-147,pinnacle,UNDER,30%
Dallas Mavericks,Indiana Pacers,Pascal Siakam,7.0,Prize Picks,REB,-147,pinnacle,OVER,50%
Denver Nuggets,Phoenix Suns,Kevin Durant,5.0,Prize Picks,AST,-160,draftkings,OVER,60%
Miami Heat,Detroit Pistons,Evan Fournier,8.0,Prize Picks,PTS,-154,pinnacle,UNDER,70%
Miami Heat,Detroit Pistons,Isaiah Stewart,6.0,Prize Picks,REB,-154,pinnacle,UNDER,90%
Miami Heat,Detroit Pistons,Ausar Thompson,6.0,Prize Picks,REB,-145,draftkings,OVER,60%
Miami Heat,Detroit Pistons,Cade Cunningham,7.0,Prize Picks,AST,-166,draftkings,OVER,70%
New York Knicks,Atlanta Hawks,Clint Capela,10.0,Prize Picks,REB,-144,pinnacle,OVER,20%
New York Knicks,Atlanta Hawks,Jalen Johnson,9.0,Prize Picks,REB,-148,pinnacle,OVER,70%
New York Knicks,Atlanta Hawks,Bruno Fernando,4.0,Prize Picks,REB,-160,draftkings,OVER,50%
New York Knicks,Atlanta Hawks,Dejounte Murray,8.0,Prize Picks,AST,-143,pinnacle,UNDER,60%
Toronto Raptors,New Orleans Pelicans,Zion Williamson,6.0,Prize Picks,REB,-141,pinnacle,OVER,40%
Toronto Raptors,New Orleans Pelicans,Brandon Ingram,5.0,Prize Picks,REB,-150,draftkings,UNDER,60%
Toronto Raptors,New Orleans Pelicans,Brandon Ingram,6.0,Prize Picks,AST,-145,pinnacle,OVER,60%
