Team,Opposing Team,Opposing Team Player,Fantasy Line,Fantasy Bookie,Stat,Odds,Sportsbook Bookie,Bet Over/Under,L10 Hit Rate
Boston Celtics,Golden State Warriors,Stephen Curry,26.0,Prize Picks,PTS,-145,pinnacle,OVER,40%
Boston Celtics,Golden State Warriors,Stephen Curry,4.0,Prize Picks,REB,-166,draftkings,UNDER,50%
Cleveland Cavaliers,New York Knicks,Josh Hart,12.0,Prize Picks,PTS,-156,pinnacle,OVER,70%
Cleveland Cavaliers,New York Knicks,Jalen Brunson,7.0,Prize Picks,AST,-165,pinnacle,UNDER,60%
Cleveland Cavaliers,New York Knicks,Josh Hart,5.0,Prize Picks,AST,-151,pinnacle,OVER,70%
Dallas Mavericks,Philadelphia 76ers,Tobias Harris,6.0,Prize Picks,REB,-144,pinnacle,UNDER,70%
Minnesota Timberwolves,LA Clippers,James Harden,5.0,Prize Picks,REB,-140,draftkings,OVER,70%
Minnesota Timberwolves,LA Clippers,Paul George,5.0,Prize Picks,REB,-145,draftkings,OVER,60%
Minnesota Timberwolves,LA Clippers,Ivica Zubac,8.0,Prize Picks,REB,-140,pinnacle,UNDER,70%
Minnesota Timberwolves,LA Clippers,James Harden,8.0,Prize Picks,AST,-160,draftkings,OVER,60%
Orlando Magic,Detroit Pistons,Isaiah Stewart,6.0,Prize Picks,REB,-145,draftkings,OVER,20%
Orlando Magic,Detroit Pistons,Cade Cunningham,7.0,Prize Picks,AST,-140,draftkings,OVER,60%
Phoenix Suns,Oklahoma City Thunder,Shai Gilgeous-Alexander,32.0,Prize Picks,PTS,-140,draftkings,OVER,30%
Phoenix Suns,Oklahoma City Thunder,Jalen Williams,4.0,Prize Picks,REB,-160,draftkings,UNDER,50%
San Antonio Spurs,Indiana Pacers,Andrew Nembhard,10.5,Prize Picks,PTS,-155,pinnacle,UNDER,30%
San Antonio Spurs,Indiana Pacers,Tyrese Haliburton,12.0,Prize Picks,AST,-140,draftkings,OVER,50%
