Team,Defense Rank,Stat,Position,Opposing Player,Opposing Player Team,PRJ Line,Odds,L15 Hit Rate
Indiana Pacers,29,AST,C,Jakob Poeltl,Toronto Raptors,2.5,118,26%
Detroit Pistons,26,PTS,G,Jalen Brunson,New York Knicks,31.5,-104,53%
Detroit Pistons,26,PTS,G,Alec Burks,New York Knicks,9.5,-115,53%
Detroit Pistons,26,PTS,G,Josh Hart,New York Knicks,11.5,-122,40%
Memphis Grizzlies,30,REB,G,Cam Thomas,Brooklyn Nets,3.5,128,40%
Brooklyn Nets,27,REB,G,Luke Kennard,Memphis Grizzlies,2.5,-144,26%
Toronto Raptors,29,AST,G,Tyrese Haliburton,Indiana Pacers,11.5,-128,26%
Toronto Raptors,30,PTS,F,Pascal Siakam,Indiana Pacers,21.5,-118,46%
Toronto Raptors,30,PTS,F,Obi Toppin,Indiana Pacers,8.5,110,46%
Memphis Grizzlies,30,REB,F,Dorian Finney-Smith,Brooklyn Nets,4.5,104,20%
Brooklyn Nets,27,REB,F,Lamar Stevens,Memphis Grizzlies,4.5,-102,33%
Brooklyn Nets,27,REB,F,Lamar Stevens,Memphis Grizzlies,5.5,114,20%
