Team,Opposing Team,Opposing Team Player,Fantasy Line,Fantasy Bookie,Stat,Odds,Sportsbook Bookie,Bet Over/Under,L10 Hit Rate
LA Clippers,Minnesota Timberwolves,Rudy Gobert,15.0,Prize Picks,REB,-150,draftkings,UNDER,80%
Memphis Grizzlies,Washington Wizards,Deni Avdija,9.5,Prize Picks,REB,-145,draftkings,UNDER,70%
Memphis Grizzlies,Washington Wizards,Tyus Jones,1.5,Prize Picks,3PM,-235,draftkings,UNDER,30%
New York Knicks,Philadelphia 76ers,Tobias Harris,7.0,Prize Picks,REB,-160,draftkings,UNDER,60%
New York Knicks,Philadelphia 76ers,Tyrese Maxey,3.5,Prize Picks,REB,-210,draftkings,UNDER,70%
New York Knicks,Philadelphia 76ers,Paul Reed,7.0,Prize Picks,REB,-159,pinnacle,UNDER,50%
New York Knicks,Philadelphia 76ers,Nicolas Batum,4.0,Prize Picks,REB,-150,draftkings,UNDER,60%
New York Knicks,Philadelphia 76ers,Tyrese Maxey,5.0,Prize Picks,AST,-169,pinnacle,OVER,50%
New York Knicks,Philadelphia 76ers,Paul Reed,0.5,Prize Picks,STL,-205,draftkings,UNDER,40%
New York Knicks,Philadelphia 76ers,Tobias Harris,0.5,Prize Picks,BLK,-700,draftkings,UNDER,40%
New York Knicks,Philadelphia 76ers,Tobias Harris,1.5,Prize Picks,TOV,-205,draftkings,UNDER,20%
New York Knicks,Philadelphia 76ers,Nicolas Batum,0.5,Prize Picks,TOV,-225,draftkings,UNDER,70%
Oklahoma City Thunder,Indiana Pacers,Andrew Nembhard,8.0,Prize Picks,PTS,-140,draftkings,UNDER,70%
Oklahoma City Thunder,Indiana Pacers,Tyrese Haliburton,4.0,Prize Picks,REB,-185,draftkings,UNDER,40%
Oklahoma City Thunder,Indiana Pacers,Pascal Siakam,7.0,Prize Picks,REB,-166,draftkings,UNDER,50%
Oklahoma City Thunder,Indiana Pacers,Myles Turner,8.0,Prize Picks,REB,-150,pinnacle,UNDER,50%
Oklahoma City Thunder,Indiana Pacers,Tyrese Haliburton,10.5,Prize Picks,AST,-165,draftkings,UNDER,50%
Oklahoma City Thunder,Indiana Pacers,Pascal Siakam,0.5,Prize Picks,STL,-145,draftkings,UNDER,30%
Oklahoma City Thunder,Indiana Pacers,Aaron Nesmith,0.5,Prize Picks,BLK,-275,draftkings,UNDER,70%
Sacramento Kings,Milwaukee Bucks,Giannis Antetokounmpo,12.0,Prize Picks,REB,-145,pinnacle,UNDER,40%
Sacramento Kings,Milwaukee Bucks,Brook Lopez,5.0,Prize Picks,REB,-140,draftkings,OVER,40%
Sacramento Kings,Milwaukee Bucks,Giannis Antetokounmpo,7.0,Prize Picks,AST,-151,pinnacle,OVER,40%
Sacramento Kings,Milwaukee Bucks,Damian Lillard,7.0,Prize Picks,AST,-160,draftkings,UNDER,40%
San Antonio Spurs,Houston Rockets,Jalen Green,24.0,Prize Picks,PTS,-147,pinnacle,OVER,30%
San Antonio Spurs,Houston Rockets,Dillon Brooks,4.0,Prize Picks,REB,-180,draftkings,UNDER,30%
San Antonio Spurs,Houston Rockets,Amen Thompson,9.0,Prize Picks,REB,-190,pinnacle,OVER,10%
San Antonio Spurs,Houston Rockets,Jalen Green,4.0,Prize Picks,AST,-154,pinnacle,UNDER,10%
San Antonio Spurs,Houston Rockets,Amen Thompson,3.5,Prize Picks,AST,-175,draftkings,UNDER,10%
San Antonio Spurs,Houston Rockets,Amen Thompson,2.5,Prize Picks,TOV,-185,draftkings,UNDER,10%
San Antonio Spurs,Houston Rockets,Jalen Green,2.5,Prize Picks,3PM,-195,draftkings,UNDER,40%
Utah Jazz,Boston Celtics,Luke Kornet,10.0,Prize Picks,PTS,-144,pinnacle,UNDER,30%
Utah Jazz,Boston Celtics,Derrick White,4.0,Prize Picks,REB,-140,draftkings,UNDER,70%
Utah Jazz,Boston Celtics,Jayson Tatum,9.0,Prize Picks,REB,-149,pinnacle,UNDER,30%
Utah Jazz,Boston Celtics,Luke Kornet,7.0,Prize Picks,REB,-161,pinnacle,UNDER,30%
Utah Jazz,Boston Celtics,Jayson Tatum,5.0,Prize Picks,AST,-166,draftkings,OVER,80%
