,PGS
,TEAM,GP,PTS,REB,AST,3PM,STL,BLK,TO,FD PTS
,NYKNew York Knicks,60,21.86,6.26,4.88,2.96,1.86,0.87,1.81,43.07
,LALLos Angeles Lakers,60,23.65,8.65,4.16,2.49,0.96,0.76,2.37,43.06
,INDIndiana Pacers,60,21.41,8.88,3.69,1.84,1.5,0.8,2.19,42.31
,PHIPhiladelphia 76ers,58,21.6,7.89,3.76,2.55,1.9,0.55,2.04,42.02
,SACSacramento Kings,58,22.16,7.56,3.81,3.02,1.57,0.78,2.05,41.95
,PHOPhoenix Suns,58,20.35,9.15,3.12,2.21,1.99,0.56,1.81,41.85
,DETDetroit Pistons,58,19.17,7.52,5.13,2.5,1.73,0.77,1.55,41.84
,CLECleveland Cavaliers,58,24.39,7.45,3.75,2.71,1.14,0.52,2.13,41.81
,BOSBoston Celtics,58,22.38,8.11,3.79,3.18,1.54,0.35,1.89,41.58
,PORPortland Trail Blazers,57,19.95,8.35,4.39,2.35,1.02,1.27,2.16,41.27
,MINMinnesota Timberwolves,59,19.75,8.25,4.4,2.14,1.46,0.79,1.89,41.11
,SASSan Antonio Spurs,59,17.81,8.45,4.77,2.32,1.95,0.85,2.44,41.07
,HOUHouston Rockets,58,17.02,8.26,4.18,1.77,1.93,1.23,2.04,40.64
,CHIChicago Bulls,59,21.07,6.19,4.89,3.4,1.54,0.49,2.41,39.51
,UTHUtah Jazz,60,19.73,5.58,4.59,2.66,1.48,0.93,1.24,39.3
,NORNew Orleans Pelicans,60,21.09,6.98,4.76,2.84,1.15,0.8,3.2,39.26
,GSWGolden State Warriors,58,20.27,8.41,2.8,2.94,1.58,0.86,2.66,39.22
,BKNBrooklyn Nets,59,18.02,8.78,4.19,2.69,1.39,0.49,1.99,38.49
,OKCOklahoma City Thunder,58,18.84,6.66,3.42,2.09,1.96,0.95,2.28,38.41
,CHACharlotte Hornets,59,21.7,6.81,3.85,2.43,0.65,0.53,1.6,37.59
,MILMilwaukee Bucks,60,16.54,7.15,4,1.3,2,0.61,2.23,36.72
,MIAMiami Heat,58,19.23,7.67,3.64,2.68,1.27,0.38,2.55,36.29
,DALDallas Mavericks,59,16.66,7.8,4.79,2.56,0.72,0.78,2,35.71
,ORLOrlando Magic,60,17.28,6.36,3.58,2.02,1.66,0.5,2.47,34.29
,DENDenver Nuggets,59,13.58,7.43,2.36,1.41,1.62,0.67,2.83,30.08
,
,PFs
,TEAM,GP,PTS,REB,AST,3PM,STL,BLK,TO,FD PTS
,WASWashington Wizards,58,28.71,10.77,6,2.09,1.92,1.68,2.56,58.87
,HOUHouston Rockets,58,26.12,12.01,5.12,2.46,1.58,2.28,2.18,57.61
,UTHUtah Jazz,60,30.5,8.73,5.55,3.58,1.26,1.21,2.17,54.54
,DETDetroit Pistons,58,28.38,8.89,5.14,2.94,1.49,1.44,2.74,52.81
,NORNew Orleans Pelicans,60,26.87,11.34,4.88,2.87,1.19,1.03,2.66,51.8
,ATLAtlanta Hawks,59,23.08,10.88,5.34,2.76,1.92,1.22,2.11,51.46
,DALDallas Mavericks,59,23.4,10.81,5.38,2.03,1.92,1.16,2.33,51.35
,INDIndiana Pacers,60,24.85,10.93,5.34,1.51,1.12,1.51,3.03,50.84
,SACSacramento Kings,58,26.49,11.22,4.32,2.18,1.42,1.09,3.12,50.84
,PHIPhiladelphia 76ers,58,21.74,13.04,5.39,1.96,1.1,1.59,2.75,50.79
,TORToronto Raptors,59,24.6,9.94,4.41,2.25,1.4,1.6,1.5,50.64
,LALLos Angeles Lakers,60,25.1,11.56,4.82,2.46,1.2,0.87,2.08,50.33
,BKNBrooklyn Nets,59,24.86,10.77,5.62,1.71,0.99,1.25,2.77,50.16
,CHACharlotte Hornets,59,24.33,12.22,3.96,2.03,1.15,1.32,2.36,49.98
,GSWGolden State Warriors,58,23.82,10.72,4.84,1.65,1.59,1.04,2.53,49.3
,NYKNew York Knicks,60,27.13,9.16,4.76,3.48,1.27,1.02,3.48,48.65
,MIAMiami Heat,58,24.24,9.89,5.39,2.92,1.18,1.12,2.64,48.45
,DENDenver Nuggets,59,25.1,11.8,3.37,2.36,1.23,0.8,1.98,48.43
,PHOPhoenix Suns,58,25.67,9.5,3.89,2.42,1.82,0.82,2.53,48.3
,CHIChicago Bulls,59,25.17,9.79,3.54,3.1,1.3,1.64,2.86,48.19
,SASSan Antonio Spurs,59,19.92,10.45,4.85,1.61,1.43,1.68,2.86,46.21
,OKCOklahoma City Thunder,58,20.74,10.1,4.81,1.8,1.4,0.87,2.67,44.22
,PORPortland Trail Blazers,57,23.11,8.93,3.91,1.8,1.48,1.01,3.21,43.95
,MEMMemphis Grizzlies,59,21.45,10.25,4.01,1.63,1.68,0.49,2.52,43.76
,LACLos Angeles Clippers,57,19.74,10.2,5.01,1.76,0.82,1.15,2.26,43.15
,MILMilwaukee Bucks,60,22.74,9.66,2.85,3.26,1.15,0.88,2.72,41.98
,CLECleveland Cavaliers,58,20.12,9.94,3.56,1.89,1.09,0.97,2.01,41.56
,ORLOrlando Magic,60,19.98,9.31,4.23,1.58,0.79,1.18,3.21,40.2
,MINMinnesota Timberwolves,59,20.71,7.62,3.1,1.95,0.94,0.87,2.15,37.78
,BOSBoston Celtics,58,18.38,7.96,3.98,2.2,0.76,0.52,1.77,35.97
,
,C
,TEAM,GP,PTS,REB,AST,3PM,STL,BLK,TO,FD PTS
,UTHUtah Jazz,60,29.89,15.7,4.25,1.09,1.78,2.94,2.4,66.87
,GSWGolden State Warriors,58,24.85,16.1,4.83,0.77,2.03,2.94,3.29,63.04
,PORPortland Trail Blazers,57,26.96,15.24,5.28,1.14,1.22,2.75,2.75,62.33
,MEMMemphis Grizzlies,59,26.12,15.12,4.83,1.54,1.19,2.8,2.38,61.1
,OKCOklahoma City Thunder,58,25.23,18.15,5.24,0.91,0.91,1.99,3.24,60.33
,DALDallas Mavericks,59,27.74,14.35,4.08,1.6,1.44,2.4,2.8,59.8
,WASWashington Wizards,58,25.73,17.2,5.39,0.7,0.7,2.11,3.12,59.77
,TORToronto Raptors,59,24.04,16.73,3.45,0.86,1.02,3.22,2.82,59.19
,DETDetroit Pistons,58,21.2,17.23,4.54,0.44,1.66,2.56,2.94,58.41
,LALLos Angeles Lakers,60,21.56,16,4.82,0.99,1.38,2.97,2.71,58.33
,SASSan Antonio Spurs,59,26.89,14.92,3.02,0.72,1.14,2.47,2.35,57.8
