Team,Defense Rank,Stat,Position,Opposing Player,Opposing Player Team,PRJ Line,Odds,L15 Hit Rate
Oklahoma City Thunder,3,REB,C,Jonas Valanciunas,New Orleans Pelicans,8.5,-115,54%
Oklahoma City Thunder,3,REB,C,Jonas Valanciunas,New Orleans Pelicans,8.5,-105,54%
Sacramento Kings,1,PTS,G,Kyrie Irving,Dallas Mavericks,24.5,-105,47%
Sacramento Kings,1,PTS,G,Kyrie Irving,Dallas Mavericks,24.5,-104,47%
New Orleans Pelicans,2,REB,G,Luguentz Dort,Oklahoma City Thunder,3.5,-150,34%
New Orleans Pelicans,2,REB,G,Luguentz Dort,Oklahoma City Thunder,2.5,132,60%
New Orleans Pelicans,2,REB,G,Josh Giddey,Oklahoma City Thunder,5.5,-108,67%
New Orleans Pelicans,2,REB,G,Josh Giddey,Oklahoma City Thunder,5.5,105,67%
New Orleans Pelicans,2,REB,G,Shai Gilgeous-Alexander,Oklahoma City Thunder,5.5,-104,60%
New Orleans Pelicans,2,REB,G,Shai Gilgeous-Alexander,Oklahoma City Thunder,5.5,105,60%
Sacramento Kings,2,AST,G,Kyrie Irving,Dallas Mavericks,4.5,-115,40%
Sacramento Kings,2,AST,G,Kyrie Irving,Dallas Mavericks,4.5,-104,40%
Los Angeles Lakers,1,REB,F,Giannis Antetokounmpo,Milwaukee Bucks,12.5,-132,54%
Los Angeles Lakers,1,REB,F,Giannis Antetokounmpo,Milwaukee Bucks,12.5,-130,54%
Los Angeles Lakers,1,REB,F,Giannis Antetokounmpo,Milwaukee Bucks,11.5,102,60%
Los Angeles Lakers,1,REB,F,Giannis Antetokounmpo,Milwaukee Bucks,11.5,105,60%
Los Angeles Lakers,1,REB,F,Khris Middleton,Milwaukee Bucks,5.5,-146,94%
Los Angeles Lakers,1,REB,F,Khris Middleton,Milwaukee Bucks,4.5,114,94%
Los Angeles Lakers,1,REB,F,Khris Middleton,Milwaukee Bucks,4.5,120,94%
Oklahoma City Thunder,4,REB,F,Herbert Jones,New Orleans Pelicans,3.5,106,40%
Oklahoma City Thunder,4,REB,F,Herbert Jones,New Orleans Pelicans,3.5,120,40%
Oklahoma City Thunder,4,REB,F,Zion Williamson,New Orleans Pelicans,7.5,-145,40%
Oklahoma City Thunder,4,REB,F,Zion Williamson,New Orleans Pelicans,7.5,-140,40%
Oklahoma City Thunder,4,REB,F,Zion Williamson,New Orleans Pelicans,6.5,110,67%
Oklahoma City Thunder,4,REB,F,Zion Williamson,New Orleans Pelicans,6.5,114,67%
Miami Heat,2,AST,F,Draymond Green,Golden State Warriors,5.5,105,54%
Miami Heat,2,AST,F,Draymond Green,Golden State Warriors,5.5,110,54%
Miami Heat,2,AST,F,Jonathan Kuminga,Golden State Warriors,2.5,-150,34%
Los Angeles Lakers,5,AST,F,Giannis Antetokounmpo,Milwaukee Bucks,5.5,-115,60%
Los Angeles Lakers,5,AST,F,Giannis Antetokounmpo,Milwaukee Bucks,5.5,102,60%
Los Angeles Lakers,5,AST,F,Khris Middleton,Milwaukee Bucks,5.5,-125,100%
Los Angeles Lakers,5,AST,F,Khris Middleton,Milwaukee Bucks,5.5,-113,100%
