Team,Defense Rank,Stat,Position,Opposing Player,Opposing Player Team,PRJ Line,Odds,L15 Hit Rate
Philadelphia 76ers,4,REB,C,Jusuf Nurkic,Phoenix Suns,11.5,-110,60%
Philadelphia 76ers,4,REB,C,Jusuf Nurkic,Phoenix Suns,11.5,-104,60%
Philadelphia 76ers,1,AST,C,Jusuf Nurkic,Phoenix Suns,3.5,-148,67%
Philadelphia 76ers,1,AST,C,Jusuf Nurkic,Phoenix Suns,2.5,135,74%
Philadelphia 76ers,1,AST,C,Jusuf Nurkic,Phoenix Suns,2.5,140,74%
Golden State Warriors,2,PTS,G,Desmond Bane,Memphis Grizzlies,23.5,-120,94%
Golden State Warriors,2,PTS,G,Desmond Bane,Memphis Grizzlies,23.5,-115,94%
Oklahoma City Thunder,3,REB,G,Keyonte George,Utah Jazz,3.5,110,34%
Oklahoma City Thunder,3,REB,G,Keyonte George,Utah Jazz,3.5,110,34%
Portland Trail Blazers,1,REB,G,James Harden,LA Clippers,5.5,-150,47%
Portland Trail Blazers,1,REB,G,James Harden,LA Clippers,4.5,120,74%
Portland Trail Blazers,1,REB,G,James Harden,LA Clippers,4.5,135,74%
LA Clippers,4,REB,G,Anfernee Simons,Portland Trail Blazers,3.5,-128,67%
LA Clippers,4,REB,G,Anfernee Simons,Portland Trail Blazers,3.5,-120,67%
Sacramento Kings,2,REB,G,Ochai Agbaji,Toronto Raptors,3.5,122,34%
Sacramento Kings,2,REB,G,Ochai Agbaji,Toronto Raptors,3.5,124,34%
Detroit Pistons,5,AST,G,Tyrese Haliburton,Indiana Pacers,11.5,-136,54%
Detroit Pistons,5,AST,G,Tyrese Haliburton,Indiana Pacers,10.5,106,60%
Detroit Pistons,5,AST,G,Tyrese Haliburton,Indiana Pacers,10.5,114,60%
Indiana Pacers,1,AST,G,Cade Cunningham,Detroit Pistons,7.5,-120,74%
Indiana Pacers,1,AST,G,Cade Cunningham,Detroit Pistons,7.5,-104,74%
Indiana Pacers,1,AST,G,Jaden Ivey,Detroit Pistons,3.5,-110,60%
Indiana Pacers,1,AST,G,Jaden Ivey,Detroit Pistons,3.5,102,60%
Oklahoma City Thunder,3,AST,G,Keyonte George,Utah Jazz,5.5,-130,60%
Oklahoma City Thunder,3,AST,G,Keyonte George,Utah Jazz,4.5,128,74%
Oklahoma City Thunder,3,AST,G,Keyonte George,Utah Jazz,4.5,130,74%
Boston Celtics,1,PTS,F,Giannis Antetokounmpo,Milwaukee Bucks,29.5,-115,74%
Boston Celtics,1,PTS,F,Giannis Antetokounmpo,Milwaukee Bucks,29.5,-105,74%
Oklahoma City Thunder,5,PTS,F,Taylor Hendricks,Utah Jazz,11.5,-128,34%
Oklahoma City Thunder,5,PTS,F,Taylor Hendricks,Utah Jazz,10.5,-104,34%
Oklahoma City Thunder,5,PTS,F,Taylor Hendricks,Utah Jazz,10.5,100,34%
Boston Celtics,4,REB,F,Giannis Antetokounmpo,Milwaukee Bucks,11.5,-132,54%
Boston Celtics,4,REB,F,Giannis Antetokounmpo,Milwaukee Bucks,11.5,-130,54%
Boston Celtics,4,REB,F,Giannis Antetokounmpo,Milwaukee Bucks,10.5,106,67%
LA Clippers,1,REB,F,Toumani Camara,Portland Trail Blazers,5.5,-145,67%
LA Clippers,1,REB,F,Toumani Camara,Portland Trail Blazers,5.5,-142,67%
Boston Celtics,1,AST,F,Giannis Antetokounmpo,Milwaukee Bucks,5.5,-135,67%
Boston Celtics,1,AST,F,Giannis Antetokounmpo,Milwaukee Bucks,5.5,-128,67%
Phoenix Suns,3,AST,F,Tobias Harris,Philadelphia 76ers,2.5,128,67%
Phoenix Suns,3,AST,F,Tobias Harris,Philadelphia 76ers,2.5,135,67%
