Team,Defense Rank,Stat,Position,Opposing Player,Opposing Player Team,PRJ Line,Odds,L15 Hit Rate
Orlando Magic,4,PTS,C,Nic Claxton,Brooklyn Nets,11.5,-132,54%
Orlando Magic,4,PTS,C,Nic Claxton,Brooklyn Nets,10.5,104,54%
Atlanta Hawks,2,PTS,C,Deandre Ayton,Portland Trail Blazers,18.5,-122,80%
Atlanta Hawks,2,PTS,C,Deandre Ayton,Portland Trail Blazers,17.5,-106,87%
Atlanta Hawks,2,PTS,C,Deandre Ayton,Portland Trail Blazers,17.5,100,87%
Orlando Magic,1,REB,C,Nic Claxton,Brooklyn Nets,9.5,-128,47%
Golden State Warriors,2,PTS,G,Kyrie Irving,Dallas Mavericks,25.5,-122,54%
Golden State Warriors,2,PTS,G,Kyrie Irving,Dallas Mavericks,24.5,-115,60%
Golden State Warriors,2,PTS,G,Kyrie Irving,Dallas Mavericks,24.5,-113,60%
New Orleans Pelicans,3,PTS,G,Donovan Mitchell,Cleveland Cavaliers,25.5,-135,80%
New Orleans Pelicans,3,PTS,G,Donovan Mitchell,Cleveland Cavaliers,25.5,-122,80%
New Orleans Pelicans,3,PTS,G,Donovan Mitchell,Cleveland Cavaliers,24.5,-106,80%
Atlanta Hawks,1,PTS,G,Scoot Henderson,Portland Trail Blazers,15.5,-115,67%
Atlanta Hawks,1,PTS,G,Scoot Henderson,Portland Trail Blazers,15.5,-115,67%
Atlanta Hawks,1,PTS,G,Anfernee Simons,Portland Trail Blazers,24.5,-125,47%
Atlanta Hawks,1,PTS,G,Anfernee Simons,Portland Trail Blazers,24.5,-125,47%
Atlanta Hawks,1,PTS,G,Anfernee Simons,Portland Trail Blazers,23.5,-113,47%
Atlanta Hawks,1,PTS,G,Anfernee Simons,Portland Trail Blazers,23.5,-105,47%
Portland Trail Blazers,1,REB,G,Bogdan Bogdanovic,Atlanta Hawks,4.5,-146,40%
Portland Trail Blazers,1,REB,G,Bogdan Bogdanovic,Atlanta Hawks,4.5,-145,40%
Portland Trail Blazers,1,REB,G,Dejounte Murray,Atlanta Hawks,6.5,-142,47%
Portland Trail Blazers,1,REB,G,Dejounte Murray,Atlanta Hawks,6.5,-140,47%
Sacramento Kings,2,REB,G,Austin Reaves,Los Angeles Lakers,4.5,-142,47%
Sacramento Kings,2,REB,G,Austin Reaves,Los Angeles Lakers,4.5,-125,47%
Sacramento Kings,2,REB,G,Austin Reaves,Los Angeles Lakers,3.5,124,74%
Sacramento Kings,2,REB,G,D'Angelo Russell,Los Angeles Lakers,3.5,-135,47%
Detroit Pistons,5,AST,G,Immanuel Quickley,Toronto Raptors,8.5,100,34%
Detroit Pistons,5,AST,G,Immanuel Quickley,Toronto Raptors,8.5,110,34%
Indiana Pacers,1,AST,G,Alex Caruso,Chicago Bulls,3.5,-140,54%
Indiana Pacers,1,AST,G,Alex Caruso,Chicago Bulls,3.5,-132,54%
Indiana Pacers,1,AST,G,Ayo Dosunmu,Chicago Bulls,5.5,-150,54%
Indiana Pacers,1,AST,G,Ayo Dosunmu,Chicago Bulls,4.5,118,60%
Indiana Pacers,1,AST,G,Coby White,Chicago Bulls,5.5,-145,60%
Indiana Pacers,1,AST,G,Coby White,Chicago Bulls,4.5,128,60%
Denver Nuggets,2,AST,G,Terry Rozier,Miami Heat,4.5,-115,74%
Denver Nuggets,2,AST,G,Terry Rozier,Miami Heat,4.5,-104,74%
Brooklyn Nets,4,PTS,F,Paolo Banchero,Orlando Magic,22.5,-120,60%
Brooklyn Nets,4,PTS,F,Paolo Banchero,Orlando Magic,22.5,-120,60%
Brooklyn Nets,4,PTS,F,Franz Wagner,Orlando Magic,18.5,-128,40%
Brooklyn Nets,4,PTS,F,Franz Wagner,Orlando Magic,17.5,-102,40%
Brooklyn Nets,4,PTS,F,Franz Wagner,Orlando Magic,17.5,110,40%
Atlanta Hawks,5,REB,F,Jerami Grant,Portland Trail Blazers,3.5,-104,47%
Atlanta Hawks,5,REB,F,Jerami Grant,Portland Trail Blazers,3.5,110,47%
Sacramento Kings,2,REB,F,Rui Hachimura,Los Angeles Lakers,4.5,-110,40%
Sacramento Kings,2,REB,F,Rui Hachimura,Los Angeles Lakers,4.5,-102,40%
