,PGS
,TEAM,GP,PTS,REB,AST,3PM,STL,BLK,TO,FD PTS
,LACLos Angeles Clippers,56,22.27,7.64,4.53,3.05,2.07,0.7,2.02,44.52
,MEMMemphis Grizzlies,57,22.7,9.82,3.61,2.99,1.69,0.56,2.59,44.06
,DETDetroit Pistons,56,19.64,7.03,5.22,2.7,1.8,0.78,1.56,42.09
,SACSacramento Kings,56,22.3,7.62,4.25,2.92,1.39,0.69,2.03,42.03
,PHIPhiladelphia 76ers,57,21.07,8.05,3.88,2.66,1.87,0.56,1.92,41.92
,PHOPhoenix Suns,58,20.35,9.15,3.12,2.21,1.99,0.56,1.81,41.85
,BOSBoston Celtics,57,22.41,8.1,3.69,3.18,1.48,0.46,1.84,41.65
,MINMinnesota Timberwolves,57,21.35,8.24,4.18,2.15,1.35,0.67,2.03,41.54
,CLECleveland Cavaliers,56,23.92,7.54,4.02,2.78,1.08,0.46,2.37,41.25
,HOUHouston Rockets,57,17.34,8.39,4.28,1.81,1.92,1.2,2.14,41.05
,INDIndiana Pacers,58,19.84,8.56,2.95,1.65,1.71,1,2.06,40.61
,SASSan Antonio Spurs,58,17.75,8.23,4.81,2.31,1.89,0.79,2.37,40.51
,PORPortland Trail Blazers,56,19.93,8.5,3.94,2.31,1.02,1.08,1.97,40.37
,BKNBrooklyn Nets,56,19.24,8.72,4.1,2.66,1.43,0.66,1.94,40.18
,GSWGolden State Warriors,56,21.47,8.27,2.49,3.13,1.71,0.78,2.49,40.11
,CHACharlotte Hornets,57,22.8,6.95,4.07,2.58,0.8,0.57,1.55,39.81
,UTHUtah Jazz,58,18.61,5.86,4.8,2.66,1.6,1.12,1.24,39.76
,OKCOklahoma City Thunder,57,19.52,6.92,3.39,2.19,1.99,0.93,2.26,39.41
,CHIChicago Bulls,57,21.12,5.87,4.87,3.06,1.68,0.43,2.56,39.24
,NORNew Orleans Pelicans,58,20.73,6.84,4.61,2.84,1.25,0.83,3.07,39.02
,MILMilwaukee Bucks,58,16.45,7.17,3.9,1.17,1.95,0.62,2.18,36.43
,DALDallas Mavericks,57,16.87,7.68,4.56,2.2,0.8,0.75,1.93,35.65
,MIAMiami Heat,56,18.72,7.09,3.79,2.48,1.18,0.43,2.48,35.26
,ORLOrlando Magic,58,17.4,6.41,3.44,2.05,1.64,0.51,2.46,34.24
,DENDenver Nuggets,58,13.6,7.57,2.37,1.34,1.6,0.96,3.01,30.91
,
,PFs
,TEAM,GP,PTS,REB,AST,3PM,STL,BLK,TO,FD PTS
,WASWashington Wizards,57,29.28,10.7,5.95,2.22,1.98,1.62,2.46,59.39
,HOUHouston Rockets,57,26.08,11.89,5.29,2.43,1.54,2.24,2.1,57.52
,DETDetroit Pistons,56,29.29,9.63,5.48,2.71,1.33,1.52,2.86,54.76
,UTHUtah Jazz,58,30.07,8.54,5.28,3.65,1.28,1.23,1.92,53.85
,DALDallas Mavericks,57,24.24,10.55,5.27,2.07,1.92,1.31,2.13,52.37
,PHIPhiladelphia 76ers,57,22.32,13.1,5.45,1.94,1.09,1.75,2.97,51.77
,ATLAtlanta Hawks,57,23.56,10.93,5.26,2.88,1.87,1.18,2.1,51.62
,BKNBrooklyn Nets,56,25.32,11.16,5.86,1.88,0.9,1.04,2.86,50.46
