Team,Defense Rank,Stat,Position,Opposing Player,Opposing Player Team,PRJ Line,Odds,L15 Hit Rate
New York Knicks,1,PTS,C,Clint Capela,Atlanta Hawks,9.5,-125,74%
New York Knicks,1,PTS,C,Clint Capela,Atlanta Hawks,9.5,-125,74%
New York Knicks,2,REB,C,Clint Capela,Atlanta Hawks,9.5,-102,80%
New York Knicks,2,REB,C,Clint Capela,Atlanta Hawks,9.5,100,80%
San Antonio Spurs,2,AST,C,Alperen Sengun,Houston Rockets,4.5,120,54%
San Antonio Spurs,2,AST,C,Alperen Sengun,Houston Rockets,4.5,130,54%
Boston Celtics,2,PTS,G,Darius Garland,Cleveland Cavaliers,22.5,-125,14%
Boston Celtics,2,PTS,G,Darius Garland,Cleveland Cavaliers,21.5,105,14%
New York Knicks,3,PTS,G,Bogdan Bogdanovic,Atlanta Hawks,16.5,-118,40%
New York Knicks,3,PTS,G,Bogdan Bogdanovic,Atlanta Hawks,15.5,110,47%
New York Knicks,3,PTS,G,Dejounte Murray,Atlanta Hawks,22.5,-122,54%
New York Knicks,3,PTS,G,Dejounte Murray,Atlanta Hawks,22.5,-115,54%
New Orleans Pelicans,1,PTS,G,Immanuel Quickley,Toronto Raptors,20.5,-120,47%
New Orleans Pelicans,1,PTS,G,Immanuel Quickley,Toronto Raptors,20.5,-115,47%
Orlando Magic,2,REB,G,Tre Mann,Charlotte Hornets,4.5,-128,60%
Orlando Magic,2,REB,G,Tre Mann,Charlotte Hornets,4.5,-125,60%
New Orleans Pelicans,3,REB,G,Immanuel Quickley,Toronto Raptors,5.5,-150,40%
New Orleans Pelicans,3,REB,G,Immanuel Quickley,Toronto Raptors,4.5,112,54%
Indiana Pacers,1,AST,G,Kyrie Irving,Dallas Mavericks,4.5,-118,54%
Indiana Pacers,1,AST,G,Kyrie Irving,Dallas Mavericks,4.5,-115,54%
Detroit Pistons,4,AST,G,Terry Rozier,Miami Heat,5.5,100,60%
New York Knicks,2,AST,G,Bogdan Bogdanovic,Atlanta Hawks,2.5,120,74%
New York Knicks,2,AST,G,Bogdan Bogdanovic,Atlanta Hawks,2.5,120,74%
New York Knicks,2,AST,G,Dejounte Murray,Atlanta Hawks,8.5,-150,54%
New York Knicks,2,AST,G,Dejounte Murray,Atlanta Hawks,7.5,110,54%
Orlando Magic,4,PTS,F,Miles Bridges,Charlotte Hornets,21.5,-106,34%
Orlando Magic,4,PTS,F,Miles Bridges,Charlotte Hornets,21.5,-105,34%
Orlando Magic,4,PTS,F,Brandon Miller,Charlotte Hornets,18.5,-120,54%
Orlando Magic,4,PTS,F,Brandon Miller,Charlotte Hornets,18.5,-115,54%
Dallas Mavericks,5,PTS,F,Pascal Siakam,Indiana Pacers,22.5,-140,40%
Dallas Mavericks,5,PTS,F,Pascal Siakam,Indiana Pacers,21.5,-120,47%
Denver Nuggets,1,PTS,F,Kevin Durant,Phoenix Suns,28.5,-120,27%
Denver Nuggets,1,PTS,F,Kevin Durant,Phoenix Suns,27.5,-110,47%
Orlando Magic,2,REB,F,Miles Bridges,Charlotte Hornets,8.5,-140,47%
Orlando Magic,2,REB,F,Miles Bridges,Charlotte Hornets,7.5,-104,54%
Orlando Magic,2,REB,F,Brandon Miller,Charlotte Hornets,4.5,-138,47%
Orlando Magic,2,REB,F,Brandon Miller,Charlotte Hornets,4.5,-115,47%
New York Knicks,4,REB,F,Jalen Johnson,Atlanta Hawks,8.5,100,67%
New York Knicks,4,REB,F,Jalen Johnson,Atlanta Hawks,8.5,100,67%
Orlando Magic,4,AST,F,Miles Bridges,Charlotte Hornets,3.5,-132,54%
Orlando Magic,4,AST,F,Miles Bridges,Charlotte Hornets,3.5,-125,54%
Orlando Magic,4,AST,F,Brandon Miller,Charlotte Hornets,2.5,-125,54%
Orlando Magic,4,AST,F,Brandon Miller,Charlotte Hornets,2.5,-125,54%
Denver Nuggets,2,AST,F,Kevin Durant,Phoenix Suns,4.5,120,60%
Denver Nuggets,2,AST,F,Kevin Durant,Phoenix Suns,4.5,130,60%
Phoenix Suns,1,AST,F,Aaron Gordon,Denver Nuggets,2.5,135,54%
