Team,Defense Rank,Stat,Position,Opposing Player,Opposing Player Team,PRJ Line,Odds,L15 Hit Rate
Toronto Raptors,29,REB,C,Jalen Duren,Detroit Pistons,12.5,-110,40%
Toronto Raptors,29,REB,C,Jalen Duren,Detroit Pistons,12.5,-104,40%
Cleveland Cavaliers,26,REB,C,Jonas Valanciunas,New Orleans Pelicans,8.5,-135,73%
Cleveland Cavaliers,26,REB,C,Jonas Valanciunas,New Orleans Pelicans,8.5,-122,73%
Cleveland Cavaliers,26,REB,C,Jonas Valanciunas,New Orleans Pelicans,9.5,104,46%
Miami Heat,26,AST,C,Nikola Jokic,Denver Nuggets,8.5,100,46%
Miami Heat,26,AST,C,Nikola Jokic,Denver Nuggets,8.5,100,46%
Dallas Mavericks,29,PTS,G,Chris Paul,Golden State Warriors,11.5,-128,20%
Dallas Mavericks,29,PTS,G,Chris Paul,Golden State Warriors,11.5,-125,20%
Dallas Mavericks,29,PTS,G,Chris Paul,Golden State Warriors,12.5,-102,20%
Dallas Mavericks,29,PTS,G,Klay Thompson,Golden State Warriors,20.5,-125,46%
Dallas Mavericks,29,PTS,G,Klay Thompson,Golden State Warriors,20.5,-122,46%
Dallas Mavericks,29,PTS,G,Klay Thompson,Golden State Warriors,21.5,-104,40%
Dallas Mavericks,29,PTS,G,Klay Thompson,Golden State Warriors,21.5,110,40%
Miami Heat,28,PTS,G,Kentavious Caldwell-Pope,Denver Nuggets,9.5,100,46%
Miami Heat,28,PTS,G,Kentavious Caldwell-Pope,Denver Nuggets,9.5,102,46%
Miami Heat,28,PTS,G,Jamal Murray,Denver Nuggets,21.5,-120,46%
Miami Heat,28,PTS,G,Jamal Murray,Denver Nuggets,21.5,-111,46%
Miami Heat,28,PTS,G,Jamal Murray,Denver Nuggets,22.5,-110,46%
Miami Heat,28,PTS,G,Jamal Murray,Denver Nuggets,22.5,-102,46%
Los Angeles Lakers,27,PTS,G,De'Aaron Fox,Sacramento Kings,27.5,-130,46%
Los Angeles Lakers,27,PTS,G,De'Aaron Fox,Sacramento Kings,26.5,-125,53%
Los Angeles Lakers,27,PTS,G,De'Aaron Fox,Sacramento Kings,27.5,-125,46%
Los Angeles Lakers,27,PTS,G,De'Aaron Fox,Sacramento Kings,26.5,-120,53%
Los Angeles Lakers,27,PTS,G,De'Aaron Fox,Sacramento Kings,28.5,-110,40%
Los Angeles Lakers,27,PTS,G,De'Aaron Fox,Sacramento Kings,28.5,-102,40%
Los Angeles Lakers,27,PTS,G,Malik Monk,Sacramento Kings,19.5,100,60%
Dallas Mavericks,27,REB,G,Chris Paul,Golden State Warriors,4.5,114,6%
Dallas Mavericks,27,REB,G,Chris Paul,Golden State Warriors,4.5,124,6%
