Team,Defense Rank,Stat,Position,Opposing Player,Opposing Player Team,PRJ Line,Odds,L15 Hit Rate
Chicago Bulls,3,PTS,C,Brook Lopez,Milwaukee Bucks,11.5,-125,60%
Cleveland Cavaliers,2,PTS,C,Jalen Duren,Detroit Pistons,13.5,-106,54%
Cleveland Cavaliers,2,PTS,C,Jalen Duren,Detroit Pistons,13.5,-105,54%
Chicago Bulls,5,REB,C,Brook Lopez,Milwaukee Bucks,4.5,105,54%
Sacramento Kings,4,REB,C,Rudy Gobert,Minnesota Timberwolves,13.5,-130,47%
Sacramento Kings,4,REB,C,Rudy Gobert,Minnesota Timberwolves,13.5,-122,47%
Cleveland Cavaliers,3,AST,C,Jalen Duren,Detroit Pistons,2.5,-150,47%
Minnesota Timberwolves,5,PTS,G,De'Aaron Fox,Sacramento Kings,24.5,-110,60%
Minnesota Timberwolves,5,PTS,G,De'Aaron Fox,Sacramento Kings,24.5,-106,60%
New Orleans Pelicans,1,PTS,G,Tyrese Haliburton,Indiana Pacers,18.5,-125,34%
New Orleans Pelicans,1,PTS,G,Tyrese Haliburton,Indiana Pacers,18.5,-115,34%
Chicago Bulls,1,REB,G,Malik Beasley,Milwaukee Bucks,2.5,130,60%
Chicago Bulls,1,REB,G,Damian Lillard,Milwaukee Bucks,4.5,-150,60%
Chicago Bulls,1,REB,G,Damian Lillard,Milwaukee Bucks,3.5,120,67%
Memphis Grizzlies,2,AST,G,Anfernee Simons,Portland Trail Blazers,5.5,-105,47%
Memphis Grizzlies,2,AST,G,Anfernee Simons,Portland Trail Blazers,5.5,104,47%
Chicago Bulls,2,REB,F,Giannis Antetokounmpo,Milwaukee Bucks,11.5,-104,40%
Chicago Bulls,2,REB,F,Giannis Antetokounmpo,Milwaukee Bucks,11.5,100,40%
