,PGS,,,,,,,,,
,TEAM,GP,PTS,REB,AST,3PM,STL,BLK,TO,DK PTS
,ATLAtlanta Hawks,55,26.42,6.58,4.34,3.39,1.29,1.22,2.85,46.45
,DENDenver Nuggets,56,13.33,6.63,2,1.33,1.6,1.07,2.61,29.32
,NORNew Orleans Pelicans,56,19.12,6.64,4.73,2.88,1.47,0.49,2.77,38.49
,CHACharlotte Hornets,55,22.4,6.84,4.14,2.6,0.95,0.63,1.53,40.86
,WASWashington Wizards,55,22.29,6.91,4.81,2.49,2.54,1.07,1.91,45.65
,DETDetroit Pistons,55,20.01,6.93,5.34,2.95,1.81,0.85,1.64,42.66
,DALDallas Mavericks,56,17.3,6.98,4.49,1.94,0.77,0.77,1.88,35.87
,TORToronto Raptors,56,25.64,7,4.38,3.41,1.38,1.6,2.45,47.4
,OKCOklahoma City Thunder,55,20.11,7.15,4.06,2.56,1.8,0.67,2.18,40.27
,CLECleveland Cavaliers,54,22.35,7.19,3.76,2.8,0.96,0.48,2.41,40.05
,MIAMiami Heat,55,20.19,7.21,3.76,2.5,1.19,0.31,2.5,37.84
,LACLos Angeles Clippers,54,21.93,7.25,4.61,3.07,2.11,0.58,2.11,43.77
,MILMilwaukee Bucks,56,18.98,7.34,3.63,1.55,1.33,0.66,1.78,37.47
,SACSacramento Kings,55,22.84,7.48,4.56,3.37,1.58,0.92,2.18,44.63
,PHIPhiladelphia 76ers,55,21.07,7.91,3.65,2.71,1.73,0.6,2.01,41.44
,PORPortland Trail Blazers,54,18.29,8.02,4.48,2.17,0.81,1.02,1.9,38.83
,SASSan Antonio Spurs,56,17.68,8.02,4.93,2.2,1.83,0.73,2.46,40.09
,MINMinnesota Timberwolves,55,21.8,8.14,4.1,2.38,1.59,0.67,2.14,42.77
,BOSBoston Celtics,56,21.64,8.42,3.43,3.17,1.46,0.4,1.71,41.76
,INDIndiana Pacers,57,21.03,8.5,3.08,1.69,1.74,1.1,2.03,41.79
,HOUHouston Rockets,55,17.35,8.53,4.26,1.65,1.76,1.13,2.39,39.81
,GSWGolden State Warriors,54,23.9,8.56,3.06,3.42,1.56,0.85,2.56,44.44
,BKNBrooklyn Nets,55,20.04,8.83,3.85,2.67,1.49,0.66,1.95,41.51
,PHOPhoenix Suns,56,20.23,8.93,3.61,2.03,2.03,0.45,1.75,41.91
,LALLos Angeles Lakers,57,23.83,9.21,4.34,1.9,0.92,0.85,2.43,45.13
,MEMMemphis Grizzlies,56,23.22,9.72,4,2.85,1.77,0.62,2.4,46.38
,,,,,,,,,,
,PFs,,,,,,,,,
,TEAM,GP,PTS,REB,AST,3PM,STL,BLK,TO,DK PTS
,MINMinnesota Timberwolves,55,22.99,8.16,3.2,2.28,1.11,1.11,2.41,42.37
,BOSBoston Celtics,56,17.92,8.41,3.73,2.17,0.99,0.61,1.46,37.58
,UTHUtah Jazz,57,28.84,8.74,5.6,3.34,1.62,1.47,2.16,54.94
,PORPortland Trail Blazers,54,23.69,8.98,4.08,1.78,1.63,0.96,3.04,45.59
,NYKNew York Knicks,56,26.65,9.11,4.68,3.27,1.2,1.05,2.87,49.76
,PHOPhoenix Suns,56,26.84,9.49,3.62,2.41,1.69,0.78,2.72,48.92
,MILMilwaukee Bucks,56,23.15,9.55,2.87,3.41,1.08,0.77,2.56,43.52
,ORLOrlando Magic,56,18.84,9.8,3.59,1.63,0.87,0.98,2.88,39.55
,DETDetroit Pistons,55,30.05,9.86,5.78,3.02,1.4,1.61,2.76,57.2
,CHIChicago Bulls,56,24.87,10.01,3.58,3.3,1.49,1.35,2.65,50.26
,MIAMiami Heat,55,23.07,10.11,5.36,2.62,0.97,1.14,2.62,49.47
,OKCOklahoma City Thunder,55,21.89,10.18,4.5,2,1.45,0.9,2.91,47.11
,NORNew Orleans Pelicans,56,26.11,10.31,4.94,2.76,1.38,1.01,2.65,52.74
,MEMMemphis Grizzlies,56,21.24,10.44,4.11,1.48,1.68,0.74,2.42,46.33
,CLECleveland Cavaliers,54,21.68,10.46,4.16,1.85,0.86,0.86,2.08,45.82
,DALDallas Mavericks,56,24.92,10.46,5.4,1.99,2.14,1.21,2.04,54.27
,LACLos Angeles Clippers,54,19.08,10.46,5.26,1.33,0.86,0.98,2.54,44.62
,TORToronto Raptors,56,24.61,10.57,4.91,2.13,1.29,1.24,1.73,51.95
,SACSacramento Kings,55,26.57,10.69,4.77,2.69,1.03,1.19,3.32,52.71
,LALLos Angeles Lakers,57,22.54,10.72,4.03,2.42,1.21,0.92,1.9,48.01
,GSWGolden State Warriors,54,25.63,10.82,5.23,2.27,1.65,1.03,2.27,53.86
,BKNBrooklyn Nets,55,24.39,10.98,5.61,2.04,0.76,0.89,2.74,50.98
,WASWashington Wizards,55,28.05,11.02,5.81,2.08,2.02,1.28,2.75,58.31
,ATLAtlanta Hawks,55,23.25,11.04,4.91,3.15,1.84,1.17,1.93,52.55
,INDIndiana Pacers,57,26.23,11.08,4.72,1.83,1.11,1.37,2.89,53.09
