Team,Defense Rank,Stat,Position,Opposing Player,Opposing Player Team,PRJ Line,Odds,L15 Hit Rate
Milwaukee Bucks,2,REB,C,Jonas Valanciunas,New Orleans Pelicans,6.5,110,60%
Boston Celtics,3,REB,G,Bogdan Bogdanovic,Atlanta Hawks,3.5,-102,47%
Boston Celtics,3,REB,G,Bogdan Bogdanovic,Atlanta Hawks,3.5,110,47%
Boston Celtics,3,REB,G,Vit Krejci,Atlanta Hawks,3.5,-102,54%
Boston Celtics,3,REB,G,Vit Krejci,Atlanta Hawks,3.5,114,54%
Boston Celtics,3,REB,G,Dejounte Murray,Atlanta Hawks,5.5,-115,47%
Boston Celtics,3,REB,G,Dejounte Murray,Atlanta Hawks,5.5,-115,47%
New Orleans Pelicans,2,REB,G,Malik Beasley,Milwaukee Bucks,2.5,122,80%
New Orleans Pelicans,2,REB,G,Malik Beasley,Milwaukee Bucks,2.5,135,80%
New Orleans Pelicans,2,REB,G,Damian Lillard,Milwaukee Bucks,3.5,118,74%
New Orleans Pelicans,2,REB,G,Damian Lillard,Milwaukee Bucks,3.5,130,74%
