Team,Opposing Team,Opposing Team Player,Fantasy Line,Fantasy Bookie,Stat,Odds,Sportsbook Bookie,Bet Over/Under,L10 Hit Rate
Detroit Pistons,Cleveland Cavaliers,Jarrett Allen,18.0,Prize Picks,PTS,-156,pinnacle,UNDER,40%
LA Clippers,Washington Wizards,Kyle Kuzma,7.5,Prize Picks,REB,-142,pinnacle,UNDER,50%
LA Clippers,Washington Wizards,Tyus Jones,9.0,Prize Picks,AST,-160,pinnacle,UNDER,60%
Memphis Grizzlies,Portland Trail Blazers,Anfernee Simons,6.0,Prize Picks,AST,-151,pinnacle,OVER,30%
New Orleans Pelicans,Indiana Pacers,Myles Turner,17.5,Prize Picks,PTS,-146,pinnacle,UNDER,50%
New Orleans Pelicans,Indiana Pacers,Tyrese Haliburton,11.0,Prize Picks,AST,-160,draftkings,OVER,60%
Philadelphia 76ers,Charlotte Hornets,Cody Martin,4.0,Prize Picks,AST,-180,draftkings,UNDER,50%
Toronto Raptors,Golden State Warriors,Stephen Curry,28.5,Prize Picks,PTS,-150,pinnacle,UNDER,50%
Toronto Raptors,Golden State Warriors,Jonathan Kuminga,6.0,Prize Picks,REB,-156,pinnacle,UNDER,30%
Toronto Raptors,Golden State Warriors,Stephen Curry,5.0,Prize Picks,AST,-164,pinnacle,OVER,70%
