Team,Defense Rank,Stat,Position,Opposing Player,Opposing Player Team,PRJ Line,Odds,L15 Hit Rate
Utah Jazz,26,PTS,G,Kyrie Irving,Dallas Mavericks,25.5,-115,53%
Utah Jazz,26,PTS,G,Kyrie Irving,Dallas Mavericks,25.5,-110,53%
Houston Rockets,30,PTS,G,Ayo Dosunmu,Chicago Bulls,14.5,-128,46%
Houston Rockets,30,PTS,G,Ayo Dosunmu,Chicago Bulls,14.5,-125,46%
Houston Rockets,26,REB,G,Ayo Dosunmu,Chicago Bulls,3.5,-135,46%
Houston Rockets,26,REB,G,Ayo Dosunmu,Chicago Bulls,3.5,-132,46%
Phoenix Suns,27,AST,G,Bogdan Bogdanovic,Atlanta Hawks,3.5,-130,53%
Phoenix Suns,27,AST,G,Bogdan Bogdanovic,Atlanta Hawks,3.5,-130,53%
Phoenix Suns,27,AST,G,Dejounte Murray,Atlanta Hawks,8.5,-115,60%
Phoenix Suns,27,AST,G,Dejounte Murray,Atlanta Hawks,8.5,-115,60%
New York Knicks,29,PTS,F,Aaron Gordon,Denver Nuggets,13.5,-115,66%
New York Knicks,29,PTS,F,Aaron Gordon,Denver Nuggets,13.5,-111,66%
Atlanta Hawks,30,PTS,F,Kevin Durant,Phoenix Suns,23.5,-125,53%
Atlanta Hawks,30,PTS,F,Kevin Durant,Phoenix Suns,24.5,-125,46%
Atlanta Hawks,30,PTS,F,Kevin Durant,Phoenix Suns,24.5,-120,46%
Atlanta Hawks,30,PTS,F,Kevin Durant,Phoenix Suns,25.5,-104,40%
Sacramento Kings,27,PTS,F,Deni Avdija,Washington Wizards,15.5,-125,33%
Sacramento Kings,27,PTS,F,Deni Avdija,Washington Wizards,16.5,-120,13%
Sacramento Kings,27,PTS,F,Deni Avdija,Washington Wizards,16.5,-111,13%
Sacramento Kings,27,PTS,F,Harrison Barnes,Washington Wizards,12.5,-135,53%
Sacramento Kings,27,PTS,F,Harrison Barnes,Washington Wizards,13.5,-105,53%
Sacramento Kings,27,PTS,F,Harrison Barnes,Washington Wizards,13.5,-104,53%
Sacramento Kings,27,PTS,F,Kyle Kuzma,Washington Wizards,21.5,-125,66%
Sacramento Kings,27,PTS,F,Kyle Kuzma,Washington Wizards,21.5,-125,66%
Sacramento Kings,27,PTS,F,Kyle Kuzma,Washington Wizards,22.5,-111,66%
Sacramento Kings,27,PTS,F,Kyle Kuzma,Washington Wizards,22.5,-110,66%
Sacramento Kings,27,PTS,F,Keegan Murray,Washington Wizards,13.5,-130,40%
Sacramento Kings,27,PTS,F,Keegan Murray,Washington Wizards,13.5,-125,40%
Sacramento Kings,27,PTS,F,Keegan Murray,Washington Wizards,14.5,100,40%
