Team,Defense Rank,Stat,Position,Opposing Player,Opposing Player Team,PRJ Line,Odds,L15 Hit Rate
Orlando Magic,5,PTS,C,Jalen Duren,Detroit Pistons,13.5,-130,54%
Orlando Magic,5,PTS,C,Jalen Duren,Detroit Pistons,13.5,-122,54%
Orlando Magic,2,REB,C,Jalen Duren,Detroit Pistons,11.5,-130,54%
Orlando Magic,2,REB,C,Jalen Duren,Detroit Pistons,10.5,100,60%
Orlando Magic,1,AST,C,Jalen Duren,Detroit Pistons,2.5,-145,47%
Orlando Magic,1,AST,C,Jalen Duren,Detroit Pistons,2.5,-136,47%
Boston Celtics,2,PTS,G,Stephen Curry,Golden State Warriors,26.5,-110,47%
Boston Celtics,2,PTS,G,Stephen Curry,Golden State Warriors,25.5,105,47%
Boston Celtics,2,PTS,G,Brandin Podziemski,Golden State Warriors,9.5,-115,67%
Boston Celtics,2,PTS,G,Brandin Podziemski,Golden State Warriors,9.5,-110,67%
New York Knicks,3,PTS,G,Donovan Mitchell,Cleveland Cavaliers,25.5,-115,74%
New York Knicks,3,PTS,G,Donovan Mitchell,Cleveland Cavaliers,24.5,120,80%
Minnesota Timberwolves,5,PTS,G,James Harden,LA Clippers,16.5,-120,67%
Minnesota Timberwolves,5,PTS,G,James Harden,LA Clippers,16.5,-115,67%
Orlando Magic,2,REB,G,Cade Cunningham,Detroit Pistons,3.5,-115,74%
Orlando Magic,2,REB,G,Cade Cunningham,Detroit Pistons,3.5,-113,74%
Orlando Magic,2,REB,G,Jaden Ivey,Detroit Pistons,2.5,-104,54%
Orlando Magic,2,REB,G,Jaden Ivey,Detroit Pistons,2.5,114,54%
Phoenix Suns,4,REB,G,Luguentz Dort,Oklahoma City Thunder,3.5,-110,40%
Phoenix Suns,4,REB,G,Luguentz Dort,Oklahoma City Thunder,3.5,-104,40%
Phoenix Suns,4,REB,G,Josh Giddey,Oklahoma City Thunder,5.5,-140,47%
Phoenix Suns,4,REB,G,Josh Giddey,Oklahoma City Thunder,5.5,-130,47%
Phoenix Suns,4,REB,G,Shai Gilgeous-Alexander,Oklahoma City Thunder,5.5,100,47%
Phoenix Suns,4,REB,G,Shai Gilgeous-Alexander,Oklahoma City Thunder,5.5,104,47%
New York Knicks,3,AST,G,Donovan Mitchell,Cleveland Cavaliers,5.5,-148,67%
New York Knicks,3,AST,G,Donovan Mitchell,Cleveland Cavaliers,5.5,-140,67%
Indiana Pacers,1,AST,G,Tre Jones,San Antonio Spurs,7.5,-142,54%
Indiana Pacers,1,AST,G,Tre Jones,San Antonio Spurs,7.5,-135,54%
Dallas Mavericks,3,PTS,F,Tobias Harris,Philadelphia 76ers,19.5,-120,47%
Dallas Mavericks,3,PTS,F,Tobias Harris,Philadelphia 76ers,19.5,-110,47%
