Team,Opposing Team,Opposing Team Player,Fantasy Line,Fantasy Bookie,Stat,Odds,Sportsbook Bookie,Bet Over/Under,L10 Hit Rate
Detroit Pistons,Miami Heat,Terry Rozier,4.0,Prize Picks,REB,-150,fanduel,UNDER,60%
New Orleans Pelicans,LA Clippers,Kawhi Leonard,6.0,Prize Picks,REB,-146,fanduel,OVER,50%
New Orleans Pelicans,LA Clippers,Paul George,5.0,Prize Picks,REB,-150,fanduel,OVER,50%
New Orleans Pelicans,LA Clippers,James Harden,8.0,Prize Picks,AST,-150,fanduel,UNDER,50%
New Orleans Pelicans,LA Clippers,Paul George,4.0,Prize Picks,AST,-156,fanduel,UNDER,50%
San Antonio Spurs,Denver Nuggets,Jamal Murray,4.0,Prize Picks,REB,-150,fanduel,UNDER,50%
San Antonio Spurs,Denver Nuggets,Jamal Murray,7.0,Prize Picks,AST,-148,fanduel,OVER,50%
