Team,Defense Rank,Stat,Position,Opposing Player,Opposing Player Team,PRJ Line,Odds,L15 Hit Rate
Phoenix Suns,3,PTS,C,Alperen Sengun,Houston Rockets,20.5,-120,27%
Houston Rockets,2,REB,C,Jusuf Nurkic,Phoenix Suns,10.5,-135,40%
New York Knicks,1,PTS,G,Stephen Curry,Golden State Warriors,26.5,-115,54%
New York Knicks,1,PTS,G,Brandin Podziemski,Golden State Warriors,10.5,-105,47%
Orlando Magic,1,REB,G,Keyonte George,Utah Jazz,2.5,135,47%
Orlando Magic,1,REB,G,Collin Sexton,Utah Jazz,2.5,-120,47%
Phoenix Suns,4,REB,G,Jalen Green,Houston Rockets,4.5,-145,47%
New York Knicks,2,AST,G,Stephen Curry,Golden State Warriors,4.5,-105,67%
Milwaukee Bucks,2,PTS,F,Miles Bridges,Charlotte Hornets,19.5,-120,54%
Milwaukee Bucks,2,PTS,F,Cody Martin,Charlotte Hornets,7.5,-125,47%
Milwaukee Bucks,2,PTS,F,Brandon Miller,Charlotte Hornets,17.5,-120,54%
Houston Rockets,4,PTS,F,Kevin Durant,Phoenix Suns,26.5,-105,40%
New York Knicks,4,REB,F,Draymond Green,Golden State Warriors,6.5,-105,67%
New York Knicks,4,REB,F,Jonathan Kuminga,Golden State Warriors,5.5,-150,60%
Utah Jazz,1,REB,F,Paolo Banchero,Orlando Magic,6.5,-110,40%
Utah Jazz,1,REB,F,Franz Wagner,Orlando Magic,5.5,-130,40%
Oklahoma City Thunder,5,AST,F,Jeremy Sochan,San Antonio Spurs,2.5,-150,34%
