Team,Defense Rank,Stat,Position,Opposing Player,Opposing Player Team,PRJ Line,Odds,L15 Hit Rate
Golden State Warriors,2,PTS,G,Tyrese Haliburton,Indiana Pacers,18.5,-125,40%
Golden State Warriors,2,PTS,G,Tyrese Haliburton,Indiana Pacers,18.5,-113,40%
Minnesota Timberwolves,5,PTS,G,Darius Garland,Cleveland Cavaliers,21.5,-125,34%
Minnesota Timberwolves,5,PTS,G,Darius Garland,Cleveland Cavaliers,20.5,-125,34%
Minnesota Timberwolves,5,PTS,G,Darius Garland,Cleveland Cavaliers,20.5,-120,34%
Minnesota Timberwolves,5,PTS,G,Darius Garland,Cleveland Cavaliers,19.5,-102,47%
Cleveland Cavaliers,5,REB,G,Mike Conley,Minnesota Timberwolves,2.5,130,67%
Cleveland Cavaliers,5,REB,G,Anthony Edwards,Minnesota Timberwolves,6.5,-111,47%
Cleveland Cavaliers,5,REB,G,Anthony Edwards,Minnesota Timberwolves,6.5,-105,47%
Cleveland Cavaliers,5,REB,G,Anthony Edwards,Minnesota Timberwolves,5.5,112,60%
Portland Trail Blazers,1,REB,G,James Harden,LA Clippers,5.5,-136,40%
Portland Trail Blazers,1,REB,G,James Harden,LA Clippers,4.5,105,67%
Portland Trail Blazers,1,REB,G,James Harden,LA Clippers,4.5,112,67%
LA Clippers,4,REB,G,Anfernee Simons,Portland Trail Blazers,3.5,100,67%
LA Clippers,4,REB,G,Anfernee Simons,Portland Trail Blazers,3.5,105,67%
Indiana Pacers,1,AST,G,Stephen Curry,Golden State Warriors,4.5,-111,67%
Indiana Pacers,1,AST,G,Stephen Curry,Golden State Warriors,4.5,100,67%
Indiana Pacers,1,AST,G,Chris Paul,Golden State Warriors,6.5,-150,54%
Indiana Pacers,1,AST,G,Chris Paul,Golden State Warriors,5.5,114,67%
Indiana Pacers,1,AST,G,Chris Paul,Golden State Warriors,5.5,116,67%
Indiana Pacers,1,AST,G,Brandin Podziemski,Golden State Warriors,3.5,-115,74%
Indiana Pacers,1,AST,G,Brandin Podziemski,Golden State Warriors,3.5,-113,74%
LA Clippers,1,REB,F,Kris Murray,Portland Trail Blazers,4.5,-135,54%
