Team,Defense Rank,Stat,Position,Opposing Player,Opposing Player Team,PRJ Line,Odds,L15 Hit Rate
San Antonio Spurs,30,PTS,C,Nikola Jokic,Denver Nuggets,24.5,-140,53%
San Antonio Spurs,30,PTS,C,Nikola Jokic,Denver Nuggets,25.5,-120,46%
San Antonio Spurs,30,PTS,C,Nikola Jokic,Denver Nuggets,25.5,-120,46%
San Antonio Spurs,30,PTS,C,Nikola Jokic,Denver Nuggets,26.5,-120,40%
Utah Jazz,28,PTS,C,Clint Capela,Atlanta Hawks,11.5,-125,26%
Utah Jazz,28,PTS,C,Clint Capela,Atlanta Hawks,12.5,-120,26%
Utah Jazz,28,PTS,C,Clint Capela,Atlanta Hawks,12.5,-102,26%
LA Clippers,27,REB,C,Jonas Valanciunas,New Orleans Pelicans,7.5,-142,66%
LA Clippers,27,REB,C,Jonas Valanciunas,New Orleans Pelicans,7.5,-140,66%
LA Clippers,27,REB,C,Jonas Valanciunas,New Orleans Pelicans,8.5,112,66%
Miami Heat,26,AST,C,Jalen Duren,Detroit Pistons,2.5,-120,53%
Miami Heat,28,PTS,G,Cade Cunningham,Detroit Pistons,22.5,-120,53%
Miami Heat,28,PTS,G,Cade Cunningham,Detroit Pistons,22.5,-106,53%
Utah Jazz,26,PTS,G,Bogdan Bogdanovic,Atlanta Hawks,17.5,-111,26%
Utah Jazz,26,PTS,G,Dejounte Murray,Atlanta Hawks,26.5,-115,26%
Utah Jazz,26,PTS,G,Dejounte Murray,Atlanta Hawks,26.5,-113,26%
Utah Jazz,26,PTS,G,Dejounte Murray,Atlanta Hawks,27.5,-102,26%
Charlotte Hornets,30,REB,G,Grayson Allen,Phoenix Suns,3.5,-110,46%
Charlotte Hornets,30,REB,G,Grayson Allen,Phoenix Suns,3.5,104,46%
Charlotte Hornets,30,REB,G,Bradley Beal,Phoenix Suns,4.5,120,20%
Charlotte Hornets,30,REB,G,Bradley Beal,Phoenix Suns,4.5,122,20%
Charlotte Hornets,30,REB,G,Devin Booker,Phoenix Suns,4.5,114,26%
Charlotte Hornets,30,REB,G,Devin Booker,Phoenix Suns,4.5,122,26%
Phoenix Suns,27,AST,G,Tre Mann,Charlotte Hornets,3.5,-145,53%
Phoenix Suns,27,AST,G,Vasilije Micic,Charlotte Hornets,6.5,-120,53%
Phoenix Suns,27,AST,G,Vasilije Micic,Charlotte Hornets,6.5,-104,53%
Toronto Raptors,28,AST,G,Jalen Suggs,Orlando Magic,2.5,-140,46%
Toronto Raptors,28,PTS,F,Paolo Banchero,Orlando Magic,22.5,-125,40%
Toronto Raptors,28,PTS,F,Paolo Banchero,Orlando Magic,22.5,-125,40%
Toronto Raptors,28,PTS,F,Paolo Banchero,Orlando Magic,23.5,-104,26%
Toronto Raptors,28,PTS,F,Franz Wagner,Orlando Magic,18.5,-125,40%
Toronto Raptors,28,PTS,F,Franz Wagner,Orlando Magic,18.5,-115,40%
Toronto Raptors,28,PTS,F,Franz Wagner,Orlando Magic,19.5,-104,33%
Atlanta Hawks,30,PTS,F,Taylor Hendricks,Utah Jazz,8.5,-132,26%
Atlanta Hawks,30,PTS,F,Taylor Hendricks,Utah Jazz,8.5,-120,26%
Atlanta Hawks,30,PTS,F,Taylor Hendricks,Utah Jazz,9.5,100,13%
Atlanta Hawks,30,PTS,F,Taylor Hendricks,Utah Jazz,9.5,104,13%
Toronto Raptors,30,REB,F,Paolo Banchero,Orlando Magic,6.5,-145,26%
Toronto Raptors,30,REB,F,Paolo Banchero,Orlando Magic,6.5,-125,26%
Toronto Raptors,30,REB,F,Franz Wagner,Orlando Magic,5.5,-105,26%
Toronto Raptors,30,REB,F,Franz Wagner,Orlando Magic,5.5,102,26%
Toronto Raptors,29,AST,F,Paolo Banchero,Orlando Magic,5.5,-115,40%
Toronto Raptors,29,AST,F,Paolo Banchero,Orlando Magic,5.5,-108,40%
Toronto Raptors,29,AST,F,Franz Wagner,Orlando Magic,3.5,-120,53%
Toronto Raptors,29,AST,F,Franz Wagner,Orlando Magic,3.5,-120,53%
